,Community,School,Return of School Leaders,First Staff Day,First Student Day,Last Day Before Christmas,First Day After Christmas,PD Week,Easter Break,Last Student Day,Last Staff Day,Last Day School Leaders,operations
0,Apex,Nanook School,"August 20, 2020","August 27, 2020","September 1, 2020","December 18, 2020","January 6, 2021","February 15-19, 2021","April 2-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
1,Arctic Bay,Inuujaq School,"August 5, 2020","August 12, 2020","August 17, 2020","December 17, 2020","January 5, 2021","February 15-19, 2021","April 2-9, 2021","June 7, 2021","June 8, 2021","June 10, 2021",Community
2,Clyde River,Quluaq School,"August 12, 2020","August 19, 2020","August 24, 2020","December 16, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 11, 2021","June 14, 2021","June 16, 2021",Community
3,Grise Fiord,Umimmaq School,"August 11, 2020","August 18, 2020","August 20, 2020","December 18, 2019","January 4, 2021","February 8-12, 2021","April 2-5, 2021","June 8, 2021","June 9, 2020","June 11, 2021",Community
4,Igloolik,Ataguttaaluk ElementarySchool,"August 5, 2020","August 12, 2020","August 17, 2020","December 15, 2020","January 4, 2021","February 15-19, 2021","April 2 -9, 2021","June 10, 2021","June 11, 2021","June 15, 2021",Community
5,Igloolik,Sivuniit Middle School,"August 5, 2020","August 12, 2020","August 17, 2020","December 15, 2020","January 4, 2021","February 15-19, 2021","April 2 -9, 2021","June 10, 2021","June 11, 2021","June 15, 2021",Community
6,Igloolik,Igloolik High School,"August 5, 2020","August 12, 2020","August 17, 2020","December 15, 2020","January 4, 2021","February 15-19, 2021","April 2 -9, 2021","June 10, 2021","June 11, 2021","June 15, 2021",Community
7,Iqaluit,Inuksuk High School,"August 22, 2020","August 27, 2020","September 1, 2020","December 18, 2020","January 6, 2021","February 15-19, 2021","April 1-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
8,Iqaluit,Joamie Elementary School,"August 20, 2020","August 27, 2020","September 1, 2020","December 18, 2020","January 6, 2021","February 15-19, 2021","April 1-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
9,Iqaluit,Nakasuk Elementary School,"August 20, 2020","August 27, 2020","September 1, 2020","December 16, 2020","January 4, 2021","February 15-19, 2021","April 1-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
10,Iqaluit,Aqsarniit Middle School,"August 20, 2020","August 27, 2020","September 1, 2020","December 18, 2020","January 6, 2021","February 15-19, 2021","April 1-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
11,Kinngait,Peter Pitseolak High School,"August 11, 2020","August 18, 2020","August 21, 2020","December 16, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 16, 2021","June 17, 2021","June 22, 2021",Community
12,Kinngait,Sam Pudlat ElementarySchool,"August 11, 2020","August 18, 2020","August 21, 2020","December 16, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 16, 2021","June 17, 2021","June 22, 2021",Community
13,Kimmirut,Qaqqalik School,"August 12, 2020","August 17, 2020","August 20, 2020","December 11, 2020","January 6, 2021","February 15-19, 2021","April 1-5, 2021","June 16, 2021","June 17, 2021","June 19, 2021",Community
14,Pangnirtung,Alookie Elementary School,"August 24, 2020","August 31, 2020","September 3, 2020","December 18, 2020","January 4, 2021","February 15-19, 2021","April 1-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
15,Pangnirtung,Attagoyuk High School,"August 24, 2020","August 31, 2020","September 3, 2020","December 18, 2020","January 4, 2021","February 15-19, 2021","April 1-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
16,Pond Inlet,Nasivvik High School,"August 5, 2020","August 12, 2020","August 17, 2020","December 18, 2020","January 5, 2021","February 15-19, 2021","April 1-5, 2021","June 3, 2021","June 4, 2021","June 8, 2021",Community
17,Pond Inlet,Ulaajuk Elementary School,"August 5, 2020","August 12, 2020","August 17, 2020","December 18, 2020","January 5, 2021","February 15-19, 2021","April 1-5, 2021","June 3, 2021","June 4, 2021","June 8, 2021",Community
18,Qikiqtaruaq,Inuksuit School,"August 12, 2020","August 17, 2020","August 19, 2020","December 18, 2020","January 7, 2021","February 22-26, 2021","April 2-5, 2021","June 10, 2021","June 11, 2021","June 13, 2021",Community
19,Resolute Bay,Qarmartalik School,"August 15, 2020","August 19, 2020","August 24, 2020","December 11, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 17, 2021","June 18, 2021","June 22, 2021",Community
20,Sanikiluaq,Nuiyak Elementary School,"August 25, 2020","September 1, 2020","September 3, 2020","December 16, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
21,Sanikiluaq,Paatsaali High School,"August 25, 2020","September 1, 2020","September 3, 2020","December 16, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
22,Sanirajak,Arnaqjuaq School,"August 25, 2020","September 1, 2020","September 4, 2020","December 17, 2020","January 5, 2021","February 15-10, 2021","April 1-5, 2021","June 24, 2021","June 25, 2021","June 27, 2021",Community
0,Iqaluit (CSFN),Ã‰cole des trois soleil,"August 26, 2020","August 31, 2020","September 4, 2020","December 18, 2020","January 4, 2021","February 15-19, 2021","April 2-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Commission scolaire francophone du Nuanvut
0,Cambridge Bay,Kullik Ilihakvik,"August 14, 2020","August 19, 2020","August 21, 2020","December 18, 2020","January 6, 2021","February 15-19, 2021","April 1-12, 2021","June 18, 2021","June 22, 2021","June 24, 2021",Kitikmeot School Operations
1,Cambridge Bay,Kiilinik High School,"August 14, 2020","August 19, 2020","August 21, 2020","December 18, 2020","January 6, 2021","February 15-19, 2021","April 1-12, 2021","June 18, 2021","June 22, 2021","June 24, 2021",Kitikmeot School Operations
2,Gjoa Haven,Quqshuun Ilihakvik,"July 31, 2020","August 5, 2020","August 10, 2020","December 17, 2020","January 4, 2021","February 15-19, 2021","April 2-5, 2021","May 28, 2021","May 31, 2021","June 2, 2021",Kitikmeot School Operations
3,Gjoa Haven,Qiqirtaq High School,"July 30, 2020","August 5, 2020","August 10, 2020","December 17, 2020","January 4, 2021","February 15-19, 2021","April 2-9, 2021","June 2, 2021","June 3, 2021","June 4, 2021",Kitikmeot School Operations
4,Kugaaruk,Arviligruaq Ilinniarvik,"August 10, 2020","August 17, 2020","August 19, 2020","December 14, 2020","January 4, 2021","February 15-19, 2021","April 1-5, 2021","June 10, 2021","June 15, 2021","June 17, 2021",Kitikmeot School Operations
5,Kugluktuk,Jimmy Hikok Ilihakvik,"August 5, 2020","August 10, 2020","August 12, 2020","December 17, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 3, 2021","June 4, 2021","June 6, 2021",Kitikmeot School Operations
6,Kugluktuk,Kugluktuk High School,"August 5, 2020","August 10, 2020","August 12, 2020","December 17, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 3, 2021","June 4, 2021","June 6, 2021",Kitikmeot School Operations
7,Taloyoak,Netsilik School,"August 4, 2020","August 11, 2020","August 13, 2020","December 21, 2020","January 4, 2021","February 15-19, 2021","April 2-5, 2021","May 28, 2021","June 2, 2021","June 4, 2021",Kitikmeot School Operations
0,Arviat,Levi Angmak School,"August 13, 2020","August 18, 2020","August 20, 2020","December 17, 2020","January 6, 2021","February 15-19, 2021","April 2-9, 2021","June 18, 2021","June 22, 2021","June 24, 2021",Kivalliq School Operations
1,Arviat,Qitiqliq Middle School,"August 13, 2020","August 18, 2020","August 20, 2020","December 17, 2020","January 6, 2021","February 15-19, 2021","April 2-9, 2021","June 18, 2021","June 22, 2021","June 24, 2021",Kivalliq School Operations
2,Arviat,John Arnalujuak High School,"August 13, 2020","August 18, 2020","August 20, 2020","December 17, 2020","January 6, 2021","February 15-19, 2021","April 2-9, 2021","June 18, 2021","June 22, 2021","June 24, 2021",Kivalliq School Operations
3,Baker Lake,Rachel ArngnamaktiqElemantary  School,"July 27, 2020","August 4, 2020","August 7, 2020","December 15, 2020","January 4, 2021","February 15-19, 2021","March 29- April 5, 2021","June 3, 2021","June 4, 2021","June 8, 2021",Kivalliq School Operations
4,Baker Lake,Jonah Amitnaaq School,"July 27, 2020","August 4, 2020","August 7, 2020","December 15, 2020","January 4, 2021","February 15-19, 2021","March 29- April 5, 2021","June 3, 2021","June 4, 2021","June 8, 2021",Kivalliq School Operations
5,Chesterfield Inlet,Victor Sammurtok School,"August 4, 2020","August 11, 2020","August 14, 2020","December 16, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 7, 2021","June 8, 2021","June 10, 2021",Kivalliq School Operations
6,Coral Harbour,Sakku School,"August 7, 2020","August 12, 2020","August 17, 2020","December 18, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 3, 2021","June 4, 2021","June 6, 2021",Kivalliq School Operations
7,Rankin Inlet,Leo Ussak School,"August 4, 2020","August 11, 2020","August 14, 2020","December 18, 2020","January 5, 2021","October 19-23, 2021","April 2-9, 2021","June 10, 2021","June 11, 2021","June 15, 2021",Kivalliq School Operations
8,Rankin Inlet,Simon Alaituq School,"August 4, 2020","August 11, 2020","August 14, 2020","December 18, 2020","January 5, 2021","October 19-23, 2021","April 2-9, 2021","June 10, 2021","June 11, 2021","June 15, 2021",Kivalliq School Operations
9,Rankin Inlet,Maani Ulyuk School,"August 4, 2020","August 11, 2020","August 14, 2020","December 18, 2020","January 5, 2021","October 19-23, 2021","April 2-9, 2021","June 11, 2021","June 11, 2021","June 15, 2021",Kivalliq School Operations
10,Naujaat,Tusarvik Elemnetary School,"July 30, 2020","August 5, 2020","August 10, 2020","December 14, 2020","January 6, 2021","February 15-19, 2021","April 2-6, 2021","June 2, 2021","June 4, 2021","June 7, 2021",Kivalliq School Operations
11,Naujaat,Tuugaalik High School,"July 30, 2020","August 5, 2020","August 10, 2020","December 14, 2020","January 6, 2021","February 15-19, 2021","April 2-6, 2021","June 2, 2021","June 4, 2021","June 7, 2021",Kivalliq School Operations
12,Whale Cove,Inuglak School,"August 5, 2020","August 12, 2020","August 14, 2020","December 16, 2020","January 4, 2021","February 15-19, 2021","April 2-5, 2021","June 2, 2021","June 4, 2021","June 7, 2021",Kivalliq School Operations
