name,source_facility_type,city,full_address,postal_code,provider
Aboriginal Community Campus #2158,10 to 12 English,Winnipeg,403-181 Higgins Avenue,R3B 3G1,Province of Manitoba
Assiniboine Comm. College Adult Coll. #2156,9 to 12 English,Brandon,725 Rosser Avenue,R7A 0K8,Province of Manitoba
Assiniboine Community College - Parkland #2155,9 to 12 English,Dauphin,Box 4000 520 Whitmore Avenue East,R7N 2V5,Province of Manitoba
Brandon Literacy Council Inc. #2241,9 to 12 English,Brandon,129 - 12th Street,R7A 4L8,Province of Manitoba
Brokenhead Ojibway Adult Learning Centre #2271,9 to 12 English,Scanterbury,Box 179,R0E 1W0,Province of Manitoba
Faith Learning Centre #2204,9 to 12 English,Winnipeg,220 Pritchard Avenue,R2W 2J1,Province of Manitoba
Jobworks Adult Learning Centre #2165,11 to 12 English,Winnipeg,1175 Pembina Hwy,R3T 2A5,Province of Manitoba
Louis Riel Institute Adult Learning Ctr. #2224,9 to 12 English,Winnipeg,103 - 150 Henry Avenue,R3B 0J7,Province of Manitoba
Peguis Adult Education Learning Centre #2225,9 to 12 English,Peguis,Box 190,R0C 3J0,Province of Manitoba
Red River College Adult Learning Centre #2226,9 to 12 English,Winnipeg,F115 - 2055 Notre Dame Avenue,R3H 0J9,Province of Manitoba
Ucn Adult Learning Centre #2166,9 to 12 English,Thompson,55 Ucn Drive,R8N 1L7,Province of Manitoba
Yellowquill College Inc. #2196,11 to 12 English,Winnipeg,480 Madison Street,R3J 1J1,Province of Manitoba
Gonzaga Middle School #2311,"6 to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,174 Maple Street North,R2W 3L4,Province of Manitoba
Holy Ghost School #1653,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,319 Selkirk Avenue,R2W 2L8,Province of Manitoba
Our Lady Of Victory School #1241,"K to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,249 Arnold Avenue,R3L 0W4,Province of Manitoba
St. Charles Interparochial School #1244,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,331 St. Charles Street,R3K 1T6,Province of Manitoba
St. Edward's School #1430,"K to 6 English, French: Communication and Culture - Grades 4-12",Winnipeg,836 Arlington Street,R3E 2E4,Province of Manitoba
St. Ignatius School #1829,"N to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,239 Harrow Street,R3M 2Y3,Province of Manitoba
St. John Brebeuf School #1729,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,605 Renfrew Street,R3N 1J8,Province of Manitoba
St. Mary's Academy #1478,"7 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,550 Wellington Crescent,R3M 0C1,Province of Manitoba
St. Maurice School #1232,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,1639 Pembina Highway,R3T 2G6,Province of Manitoba
St. Paul's High School #1832,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,2200 Grant Avenue,R3P 0P8,Province of Manitoba
Acadia Colony School #2202,K to 12 English,Carberry,Box 358,R0K 0H0,Province of Manitoba
Brookdale School #1117,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brookdale,General Delivery,R0K 0G0,Province of Manitoba
Carberry Collegiate #1434,"5 to 12 English, French: Communication and Culture - Grades 4-12",Carberry,Box 518,R0K 0H0,Province of Manitoba
Fairway Colony School #2098,K to 12 English,Douglas,P.O.Box 330,R0K 0R0,Province of Manitoba
Hazel M. Kellington School #1292,"K to 4 Early Start French, English, French: Communication and Culture - Grades 4-12",Neepawa,Box 696,R0J 1H0,Province of Manitoba
J. M. Young School #1184,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Eden,General Delivery,R0J 0M0,Province of Manitoba
Neepawa Area Collegiate #1573,"9 to 12 English, French: Communication and Culture - Grades 4-12",Neepawa,Box 430,R0J 1H0,Province of Manitoba
Neepawa Middle School #2320,"5 to 8 English, French: Communication and Culture - Grades 4-12",Neepawa,Box 1510,R0J 1H0,Province of Manitoba
R. J. Waugh Elementary #1645,"K to 4 Early Start French, English, French: Communication and Culture - Grades 4-12",Carberry,Box 639,R0K 0H0,Province of Manitoba
Riverbend Colony School #1574,K to 12 English,Carberry,Riverbend Colony Box 344,R0K 0H0,Province of Manitoba
Riverside Colony School #1734,K to 12 English,Neepawa,Riverside Colony Box 1360,R0J 1H0,Province of Manitoba
Rolling Acres School #2236,K to 12 English,Birnie,Box 38,R0J 0J0,Province of Manitoba
Spruce Wood School #1221,K to 12 English,Brookdale,Spruce Wood Colony,R0K 0G0,Province of Manitoba
Twilight Colony School #2127,K to 12 English,Neepawa,Box 2380,R0J 1H0,Province of Manitoba
Willerton School #1311,K to 12 English,Neepawa,Springhill Colony Box 1930,R0J 1H0,Province of Manitoba
Blue Clay Colony School #2086,K to 12 English,Dominion City,Box 220,R0A 0H0,Province of Manitoba
Emerson Elementary #1177,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Emerson,Box 422,R0A 0L0,Province of Manitoba
Glenway Colony School #1380,K to 12 English,Dominion City,Glenway Colony Box 291,R0A 0H0,Province of Manitoba
Green Ridge School #2290,K to 12 English,Dominion City,Box 156,R0A 0H0,Province of Manitoba
Gretna Elementary #1786,"K to 8 English, French: Communication and Culture - Grades 4-12",Gretna,Box 90,R0G 0V0,Province of Manitoba
Horizon Colony School #2286,K to 12 English,Altona,120 - 9th Street Nw,R0G 0B1,Province of Manitoba
Pineland Colony School #2122,K to 12 English,Piney,Box 39,R0A 1K0,Province of Manitoba
Regional Alternative Education Centre #2181,9 to 12 English,Altona,120 9th Street N.W.,R0G 0B1,Province of Manitoba
Ridgeville Colony School #2123,K to 12 English,Dominion City,Box 10,R0A 0H0,Province of Manitoba
Roseau Valley School #1658,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Dominion City,Box 176,R0A 0H0,Province of Manitoba
Rosenfeld Elementary #1344,"K to 6 English, French: Communication and Culture - Grades 4-12",Rosenfeld,Box 33,R0G 1X0,Province of Manitoba
Ross L. Gray School #1059,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Sprague,General Delivery,R0A 1Z0,Province of Manitoba
Shevchenko School #1551,"K to 12 English, French: Communication and Culture - Grades 4-12, Intensive French (English Program)",Vita,Box 1000,R0A 2K0,Province of Manitoba
W. C. Miller Collegiate #1778,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Altona,181 - 6th Street S.E.,R0G 0B3,Province of Manitoba
cole Elmwood School #1730,"K to 3 Early Immersion, English",Altona,27 - 4th Street S.W.,R0G 0B2,Province of Manitoba
cole Parkside School #1721,"7 to 8 Early Immersion, English, French: Communication and Culture - Grades 4-12",Altona,155 - 5th Street N.W.,R0G 0B1,Province of Manitoba
cole West Park School #1533,"4 to 6 Early Immersion, English, French: Communication and Culture - Grades 4-12",Altona,83 - 3rd Street N.W.,R0G 0B1,Province of Manitoba
Alexander School #1901,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Alexander,Box 21,R0K 0A0,Province of Manitoba
Betty Gibson School #1325,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,701 - 12th Street,R7A 6H7,Province of Manitoba
Crocus Plains Regional Secondary #1302,"9 to 12 English, French: Communication and Culture - Grades 4-12",Brandon,1930 - 1st Street,R7A 6Y6,Province of Manitoba
Earl Oxford School #1371,"K to 8 English, French: Communication and Culture - Grades 4-12",Brandon,540 - 18th Street,R7A 5B2,Province of Manitoba
George Fitton School #1007,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,1129 - 3rd Street,R7A 3E7,Province of Manitoba
Green Acres School #1112,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,335 Queens Avenue East,R7A 2B9,Province of Manitoba
J. R. Reid School #1270,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,813 - 26th Street,R7B 2B6,Province of Manitoba
King George School #1660,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,535 Park Street,R7A 6M6,Province of Manitoba
Kirkcaldy Heights School #1987,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,10 Knowlton Drive,R7A 6N7,Province of Manitoba
Linden Lanes School #1631,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,49 Silver Birch Drive,R7B 1A8,Province of Manitoba
Maryland Park School #2327,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,700 Maryland Avenue,R7A 7X9,Province of Manitoba
Meadows School #1706,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,1220 - 22nd Street,R7B 1T4,Province of Manitoba
Neelin High #1758,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Brandon,1020 Brandon Avenue,R7A 1K6,Province of Manitoba
New Era School #1215,"K to 8 Early Immersion, Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,527 Louise Avenue,R7A 0X1,Province of Manitoba
O'Kelly School #1845,"K to 8 Early Immersion, Early Start French, English, French: Communication and Culture - Grades 4-12",Shilo,Box 70 C.F.B.Shilo,R0K 2A0,Province of Manitoba
Prairie Hope High School #2321,9 to 12 English,Brandon,Unit A 638 Princess Avenue,R7A 0PE,Province of Manitoba
Riverheights School #1604,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,32 E Fotheringham Drive,R7B 3G3,Province of Manitoba
Riverview School #1603,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,1105 Louise Avenue East,R7A 1Y2,Province of Manitoba
Spring Valley Colony School #1037,K to 12 English,Brandon,Spring Valley Colony C/O 1031-6th Street,R7A 4K5,Province of Manitoba
St. Augustine School #1593,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,330 3rd St,R7A 3C3,Province of Manitoba
Christ The King School #1482,"N to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,12 Lennox Avenue,R2M 1A6,Province of Manitoba
Holy Cross School #1549,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,300 Dubuc Street,R2H 1E4,Province of Manitoba
Immaculate Heart Of Mary School #1523,"N to 8 English, French: Communication and Culture - Grades 4-12, Ukrainian",Winnipeg,650 Flora Avenue,R2W 2S5,Province of Manitoba
St. Alphonsus School #1087,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,343 Munroe Avenue,R2K 1H2,Province of Manitoba
St. Boniface Diocesan High School #1257,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,282 Dubuc Street,R2H 1E4,Province of Manitoba
St. Emile School #1791,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,552 St. Anne'S Road,R2M 3G4,Province of Manitoba
St. Gerard School #1562,"N to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,40 Foster Street,R2L 1V7,Province of Manitoba
St. Joseph The Worker School #1756,"N to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,505 Brewster Street,R2C 2W6,Province of Manitoba
Centre Scolaire Lo-Rmillard #2255,9 to 12 Francais,Winnipeg,1095 Chemin Sainte-Anne,R2N 4G5,Province of Manitoba
Cntr D'Apprentissage Franco-Manitobain #2262,9 to 12 Francais,Winnipeg,585 Rue St. Jean-Baptiste,R2H 2Y2,Province of Manitoba
Collge Louis-Riel #1287,7 to 12 Francais,Saint-Boniface,585 Rue St-Jean-Baptiste,R2H 2Y2,Province of Manitoba
cole Christine-Lesprance #1332,M to 8 Francais,Winnipeg,425 Chemin John Forsyth,R2N 4J3,Province of Manitoba
cole Communautaire Aurle-Lemoine #2078,M to 12 Francais,Saint-Laurent,"Case Postale 900 81, Chem.Des Anc. Combattants",R0C 2S0,Province of Manitoba
cole Communautaire Gilbert-Rosset #2147,N to 12 Francais,Saint-Claude,Case Postale 147 108 Avenue B̩riault,R0G 1Z0,Province of Manitoba
cole Communautaire La Voie Du Nord #2267,M to 12 Francais,Thompson,Case Postale 1223 Station Main 271 Chemin Weir,R8N 1P1,Province of Manitoba
cole Communautaire Ral-Brard #1870,M to 12 Francais,Saint-Pierre-Jolys,Case Postale 490 377 Rue Sabourin,R0A 1V0,Province of Manitoba
cole Communautaire Saint-Georges #2091,N to 12 Francais,Saint-Georges,Case Postale 159 14 Baie Caron,R0E 1V0,Province of Manitoba
cole Jours De Plaine #2104,N to 12 Francais,Laurier,Case Postale 135 283 - Route Prov. 480,R0J 1A0,Province of Manitoba
cole La Source #2231,M to 12 Francais,Shilo,Case Postale 240 T-102 Avenue St. Barbara,R0K 2A0,Province of Manitoba
cole Lacerte #1180,M to 8 Francais,Saint-Boniface,1101 Promenade Autumnwood,R2J 1C8,Province of Manitoba
cole Lagimodire #1770,M to 8 Francais,Lorette,Case Postale 130 361 Rue Senez,R0A 0Y0,Province of Manitoba
cole Nord-Est #2329,M to 1 Francais,Winnipeg,"851, Chemin Panet",R2K 4C,Province of Manitoba
cole Nol-Ritchot #1204,M to 8 Francais,Saint-Norbert,45 Avenue De La Digue,R3V 1M7,Province of Manitoba
cole Pointe-Des-Chnes #1648,M to 12 Francais,Sainte-Anne,90 Chemin Arena,R5H 1G6,Province of Manitoba
cole Prcieux-Sang #1887,M to 8 Francais,Saint-Boniface,209 Rue Kenny,R2H 2E5,Province of Manitoba
cole Romo-Dallaire #2211,M to 8 Francais,Winnipeg,81 Chemin Quail Ridge,R2Y 2A9,Province of Manitoba
cole Rgionale Notre-Dame #1671,M to 12 Francais,N.-D.-De-Lourdes,Case Postale 250 45 Avenue Notre-Dame Ouest,R0G 1M0,Province of Manitoba
cole Rgionale Saint-Jean-Baptiste #1152,M to 12 Francais,Saint-Jean-Baptiste,"Case Postale 130 113, 2e Avenue",R0G 2B0,Province of Manitoba
Brandon School Division Summer School #2233,9 to 12 English,Brandon,C/O Crocus Plains High School 1930 - 1st Street,R7A 6Y6,Province of Manitoba
Distance Learning Unit #2112,9 to 12 English,Winkler,Main Plaza 555 Main Street,R6W 1C4,Province of Manitoba
Inform Net #2305,9 to 12 English,Winnipeg,181 Henlow Bay,R3Y 1M7,Province of Manitoba
Nelson Mcintyre Coll. Summer School #2013,9 to 12 English,Winnipeg,188 St. Mary'S Road,R2H 1H9,Province of Manitoba
Red River College #2016,00 to 00 English,Winnipeg,C 116-2055 Notre Dame Avenue,R3H 0J9,Province of Manitoba
Seven Oaks S.D. Summer School #2099,9 to 12 English,Winnipeg,C/O Maples Coll. I.T. Centre 2nd Floor-1330 Jefferson Ave.,R2P 1L3,Province of Manitoba
St. James-Assiniboia Summer School #2008,9 to 12 English,Winnipeg,St. James Collegiate 1900 Portage Avenue,R3J 0J1,Province of Manitoba
Turtle Mountain Sch. Div. Summer School #2140,9 to 12 English,Killarney,Box 280,R0K 1G0,Province of Manitoba
Univ. Of Winnipeg Coll. Summer School #2011,10 to 12 English,Winnipeg,2w04-515 Portage Avenue,R3B 2E9,Province of Manitoba
Wapaskwa Virtual Collegiate #2289,7 to 12 English,Winnipeg,C/O Mfnerc 2 - 1100 Waverley Street,R3T 3X9,Province of Manitoba
Winnipeg S.D. Summer School #2009,10 to 12 English,Winnipeg,401 Church Avenue,R2W 1C4,Province of Manitoba
Arborg Collegiate #1587,"9 to 12 English, French: Communication and Culture - Grades 4-12",Arborg,Box 220 461 St. Peter Street,R0C 0A0,Province of Manitoba
Arborg Early/Middle Years School #1423,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Arborg,Box 670,R0C 0A0,Province of Manitoba
Dr. George Johnson Middle School #1300,"5 to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Gimli,Box 1170,R0C 1B0,Province of Manitoba
Gimli High School #1368,"9 to 12 English, French: Communication and Culture - Grades 4-12",Gimli,Box 1260,R0C 1B0,Province of Manitoba
Riverton Collegiate #1857,"8 to 12 English, French: Communication and Culture - Grades 4-12",Riverton,Box 749,R0C 2R0,Province of Manitoba
Riverton Early Middle Years School #2133,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Riverton,Box 280,R0C 2R0,Province of Manitoba
Sigurbjorg Stefansson Early School #2212,"K to 4 Early Start French, English, French: Communication and Culture - Grades 4-12",Gimli,Box 7500,R0C 1B0,Province of Manitoba
Winnipeg Beach School #1601,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg Beach,Box 130,R0C 3G0,Province of Manitoba
'72 Memorial High School #2135,7 to 12 English,Oxford House,General Delivery,R0B 1C0,Province of Manitoba
Abbalak Thunderswift Memorial School #1387,"N to 9 Bilingual, English",Little Grand Rapids,Box 160,R0B 0V0,Province of Manitoba
Amos Okemow Memorial School #1668,N to 11 English,God'S River,Box 103,R0B 0N0,Province of Manitoba
Anicinabe Community School #1329,N to 3 English,Pine Falls,Box 219,R0E 1M0,Province of Manitoba
Charles Sinclair School #1969,N to 6 English,Koostatak,Box 109,R0C 1S0,Province of Manitoba
Chemawawin School #1058,N to 12 English,Easterville,Box 10,R0C 0V0,Province of Manitoba
Chief Charles Thomas Audy Memorial Sch. #2090,N to 8 English,Birch River,Box 307,R0L 0E0,Province of Manitoba
Chief Clifford Lynxleg Anishinabe School #1937,N to 7 English,Shortdale,Valley River Reserve,R0L 1W0,Province of Manitoba
Chief Sam Cook Mahmuwee Education Centre #2038,N to 12 English,Split Lake,General Delivery,R0B 1P0,Province of Manitoba
Donald Ahmo School #2060,N to 8 English,Crane River,General Delivery,R0L 0M0,Province of Manitoba
Ebb And Flow School #1240,N to 12 English,Ebb And Flow,General Delivery,R0L 0R0,Province of Manitoba
Fisher River High School #2315,7 to 12 English,Fisher River,"P.O. Box 360, Lot 78",R0C 1S0,Province of Manitoba
Fox Lake School #2082,N to 8 English,Gillam,P.O. Box 279,R0B 0L0,Province of Manitoba
Garden Hill First Nations High School #2092,7 to 12 English,Island Lake,General Delivery,R0B 0T0,Province of Manitoba
George Knott School #2067,N to 12 English,Waasagomach,General Delivery,R0B 1Z0,Province of Manitoba
George Saunders Memorial School #1314,N to 8 English,York Landing,General Delivery P.O. Box 255,R0B 2B0,Province of Manitoba
Ginew School #1912,N to 8 English,Ginew,Box 10,R0A 2R0,Province of Manitoba
God's Lake Narrows First Nation School #2080,N to 9 English,God'S Lake Narrows,General Delivery,R0B 0M0,Province of Manitoba
Indian Springs School #1068,N to 8 English,Swan Lake,Box 145,R0G 2S0,Province of Manitoba
Isaac Beaulieu Memorial #1402,N to 12 English,Marius,Marius Post Office,R0H 0T0,Province of Manitoba
Hapnot Collegiate #1865,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Flin Flon,115 Green Street,R8A 0P7,Province of Manitoba
Many Faces Education Centre #2085,9 to 12 English,Flin Flon,115 Green Street,R8A 0P7,Province of Manitoba
Many Faces Education Centre Alc #2249,9 to 12 English,Flin Flon,115 Green Street,R8A 0P7,Province of Manitoba
Ruth Betts Community School #1736,"K to 8 English, French: Communication and Culture - Grades 4-12",Flin Flon,9 Terrace Avenue,R8A 1S2,Province of Manitoba
cole Mcisaac School #1178,"K to 8 Early Immersion, English, French: Communication and Culture - Grades 4-12",Flin Flon,336 Princess Boulevard,R8A 0K8,Province of Manitoba
Boundary Lane Colony School #2121,K to 12 English,Elkhorn,Box 164,R0M 0N0,Province of Manitoba
Elkhorn School #1476,"K to 12 Early Start French, English",Elkhorn,Box 310,R0M 0N0,Province of Manitoba
Goulter School #1224,"K to 4 English, French: Communication and Culture - Grades 4-12",Virden,Box 1090,R0M 2C0,Province of Manitoba
Kola School #1672,1 to 8 English,Kola,Box 312,R0M 1B0,Province of Manitoba
Mary Montgomery School #1902,"K to 4 English, French: Communication and Culture - Grades 4-12",Virden,Box 700,R0M 2C0,Province of Manitoba
Oak Lake Community School #1711,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Oak Lake,Box 7,R0M 1P0,Province of Manitoba
Plainview Colony School #1313,K to 12 English,Elkhorn,Plainview Colony Box 59,R0M 0N0,Province of Manitoba
Reston School #1427,K to 12 English,Reston,Box 160,R0M 1X0,Province of Manitoba
Virden Collegiate #1043,"9 to 12 English, French: Communication and Culture - Grades 4-12",Virden,Box 1418,R0M 2C0,Province of Manitoba
Virden Junior High #1567,"5 to 8 English, French: Communication and Culture - Grades 4-12",Virden,Box 1510,R0M 2C0,Province of Manitoba
Barrows Junction School #1820,N to 9 English,Barrows Junction,General Delivery,R0L 0B0,Province of Manitoba
Berens River School #1680,N to 9 English,Berens River,Box 344,R0B 0A0,Province of Manitoba
Black River Anishinabe School #1408,N to 10 English,O'Hanley,General Delivery,R0E 1K0,Province of Manitoba
Brochet School #1522,N to 9 English,Brochet,Box 70,R0B 0B0,Province of Manitoba
Chan Kagha Otina Dakota Wayawa Tipi Sch. #1934,N to 12 English,Beulah,Box 40,R0M 0B0,Province of Manitoba
Cold Lake School #1031,K to 8 English,Sherridon,General Delivery,R0B 1L0,Province of Manitoba
Cormorant Lake School #1839,N to 10 English,Cormorant,General Delivery,R0B 0G0,Province of Manitoba
Cranberry Portage Elementary #1595,N to 8 English,Cranberry Portage,General Delivery,R0B 0H0,Province of Manitoba
D. R. Hamilton School #1008,N to 9 English,Cross Lake,Box 70,R0B 0J0,Province of Manitoba
Dauphin River School #1968,N to 8 English,Gypsumville P.O.,Box 140,R0C 1J0,Province of Manitoba
Duck Bay School #1788,N to 9 English,Duck Bay,Box 123,R0L 0N0,Province of Manitoba
Duke Of Marlborough School #1904,N to 12 English,Churchill,Box 338,R0B 0E0,Province of Manitoba
Falcon Beach School #1984,N to 10 English,Falcon Lake,Box 70,R0E 0N0,Province of Manitoba
Frontier Collegiate #1852,9 to 12 English,Cranberry Portage,General Delivery,R0B 0H0,Province of Manitoba
Frontier Mosakahiken School #1528,N to 12 English,Moose Lake,General Delivery,R0B 0Y0,Province of Manitoba
Frontier S.D. Adult Education Program #2206,9 to 12 English,Winnipeg,30 Speers Road,R2J 1L9,Province of Manitoba
Gillam School #1024,N to 12 English,Gillam,Box 370,R0B 0L0,Province of Manitoba
