name,source_facility_type,city,full_address,postal_code,provider
Grand Rapids School #1278,N to 12 English,Grand Rapids,General Delivery,R0C 1E0,Province of Manitoba
Gypsumville School #2021,K to 8 English,Gypsumville,General Delivery,R0C 1J0,Province of Manitoba
Helen Betty Osborne Ininiw Edu. Res. Ctr #2232,N to 12 English,Norway House,Box 790,R0B 1B0,Province of Manitoba
Blumenfeld School #1334,1 to 8 English,Winkler,Border Valley Unit Box 1510,R6W 4B4,Province of Manitoba
Border Valley Elementary #1444,K to 8 English,Winkler,Border Valley Unit Box 1510,R6W 4B4,Province of Manitoba
Edelweiss School #1107,K to 12 English,Plum Coulee,Plum Coulee Unit Box 108,R0G 1R0,Province of Manitoba
Emerado Centennial #2248,"4 to 8 English, French: Communication and Culture - Grades 4-12",Winkler,675 Prairieview Drive,R6W 1M5,Province of Manitoba
Garden Valley Collegiate #1565,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winkler,736 Main Street,R6W 4C8,Province of Manitoba
Hochfeld School #1339,1 to 8 English,Schanzenfeld,C/O Southwood Unit 224 Hespeler Avenue E.,R6W 1K3,Province of Manitoba
J. R. Walkof Elementary #1544,K to 3 English,Winkler,800 Southview Drive,R6W 4E1,Province of Manitoba
Northlands Parkway Collegiate #2285,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winkler,139 Northlands Parkway East,R6W 0E9,Province of Manitoba
Parkland Elementary School #2053,"K to 8 English, French: Communication and Culture - Grades 4-12",Winkler,1100 Roblin Blvd,R6W 1G2,Province of Manitoba
Pine Ridge Elementary School #2316,"K to 8 English, French: Communication and Culture - Grades 4-12",Winkler,Box 1330 750 Triple E. Blvd,R6W 4B3,Province of Manitoba
Plum Coulee School #1717,"K to 8 English, French: Communication and Culture - Grades 4-12",Plum Coulee,Plum Coulee Unit Box 108,R0G 1R0,Province of Manitoba
Prairie Dale School #2275,"4 to 8 English, French: Communication and Culture - Grades 4-12",Schanzenfeld,39 Church Street South,R6W 0E4,Province of Manitoba
Southwood Elementary #1091,K to 3 English,Schanzenfeld,224 Hespeler Avenue E.,R6W 1K3,Province of Manitoba
Winkler Elementary #1124,"K to 8 English, French: Communication and Culture - Grades 4-12",Winkler,284 8th Street,R6W 4C9,Province of Manitoba
Blumenort School #1122,"K to 8 English, French: Communication and Culture - Grades 4-12",Blumenort,10 Park Street,R0A 0C1,Province of Manitoba
Bothwell School #1882,"K to 8 English, French: Communication and Culture - Grades 4-12",New Bothwell,Box 220 25 Crown Valley Rd. E.,R0A 1C0,Province of Manitoba
Clearspring Middle School #2282,"5 to 8 English, French: Communication and Culture - Grades 4-12",Steinbach,1 Brighton Lane,R5G 0Y2,Province of Manitoba
Crystal Springs School #1469,K to 12 English,Ste. Agathe,Box 10,R0G 1Y0,Province of Manitoba
Elmdale School #1198,K to 4 English,Steinbach,160 Elmdale Street,R5G 0P3,Province of Manitoba
Green Valley School #1693,"5 to 12 English, French: Communication and Culture - Grades 4-12",Grunthal,Box 29,R0A 0R0,Province of Manitoba
Kleefeld School #1234,"K to 8 English, French: Communication and Culture - Grades 4-12",Kleefeld,Box 80,R0A 0V0,Province of Manitoba
Landmark Collegiate #1129,"7 to 12 English, French: Communication and Culture - Grades 4-12",Landmark,Box 40,R0A 0X0,Province of Manitoba
Landmark Elementary School #2051,"K to 6 English, French: Communication and Culture - Grades 4-12",Landmark,Po Box 260,R0A 0X0,Province of Manitoba
Mitchell Elementary School #1959,K to 4 English,Mitchell,99 Stanway Bay,R5G 1J4,Province of Manitoba
Mitchell Middle School #2229,"5 to 8 English, French: Communication and Culture - Grades 4-12",Mitchell,203 Third Street,R5G 1H7,Province of Manitoba
Niverville Elementary #1777,K to 5 English,Niverville,Box 239,R0A 1E0,Province of Manitoba
Niverville High School #2319,9 to 12 English,Niverville,401 Center Street,R0A 1E0,Province of Manitoba
Niverville Middle School #1309,"5 to 8 English, French: Communication and Culture - Grades 4-12",Niverville,Box 188,R0A 1E0,Province of Manitoba
South Oaks Elementary #1590,K to 4 English,Grunthal,Box 550,R0A 0R0,Province of Manitoba
Southwood School #1513,K to 4 English,Steinbach,155 Barkman Avenue,R5G 0P2,Province of Manitoba
Steinbach Regional Secondary #1353,"9 to 12 English, French: Communication and Culture - Grades 4-12",Steinbach,190 Mckenzie Avenue,R5G 0P1,Province of Manitoba
Stonybrook Middle School #1437,"5 to 9 English, French: Communication and Culture - Grades 4-12",Steinbach,77 Lumber Avenue,R5G 0R3,Province of Manitoba
Woodlawn School #1182,K to 4 English,Steinbach,411 Henry St. East,R5G 0R1,Province of Manitoba
Home Schools #1950,00 to 00 English,Winnipeg,507-1181 Portage Avenue,R3G 0T3,Province of Manitoba
Acadmie Islamique Du Manitoba #2221,"K to 8 Arabic, Early Start French, English, French: Communication and Culture - Grades 4-12, Partial Francais",Winnipeg,208 Provencher Blvd. P.O. Box 153,R2H 3B4,Province of Manitoba
Alhijra Islamic School #2114,K to 9 English,Winnipeg,410 Desalaberry Avenue,R2L 0Y7,Province of Manitoba
Austin Christian Academy #1733,"K to 12 English, French: Communication and Culture - Grades 4-12",Austin,Box 460,R0H 0C0,Province of Manitoba
Balmoral Hall School #1536,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,630 Westminster Avenue,R3C 3S1,Province of Manitoba
Beautiful Savior Lutheran School #2102,"N to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,52 Birchdale Ave.,R2H 1R9,Province of Manitoba
Calvin Christian School #1077,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,245 Sutton Avenue,R2G 0T1,Province of Manitoba
Cartwright Community Independent Sch. #2055,12 to 12 English,Cartwright,Box 419 810 Broadway Street,R0K 0L0,Province of Manitoba
Children's House #1861,N to K English,Winnipeg,150 Pacific Avenue,R3B 3K8,Province of Manitoba
Christian Heritage School #1148,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Brandon,2025 26th Street,R7B 3Y2,Province of Manitoba
Community Bible Fellowship Christian #1239,N to 8 English,Swan River,Box 1630,R0L 1Z0,Province of Manitoba
Dasmesh School #2284,N to 10 English,Winnipeg,3707 Roblin Blvd,R3R 0E2,Province of Manitoba
Dufferin Christian School #1157,"K to 12 English, French: Communication and Culture - Grades 4-12",Carman,Box 1450,R0G 0J0,Province of Manitoba
Faith Academy #1315,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,437 Matheson Ave.,R2W 0E1,Province of Manitoba
Green Acres Colony High School #2151,9 to 12 English,Wawanesa,Box 190,R0K 2G0,Province of Manitoba
H. B. Community School #2117,K to 12 English,Macgregor,Box 40,R0H 0R0,Province of Manitoba
Immanuel Christian School #1274,"K to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,215 Rougeau Avenue,R2C 3Z9,Province of Manitoba
Inspired Explorations Learning Community #2308,N to 4 English,Winnipeg,Unit A - 5905 Roblin Blvd,R3R 0G8,Province of Manitoba
Iqra Islamic School #2291,"N to 8 Arabic, English",Winnipeg,404 Webb Place,R3B 3J4,Province of Manitoba
Kola Community School #2197,N to K English,Kola,Box 553,R0M 1B0,Province of Manitoba
Lakeside Christian School #1998,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Killarney,Box 894 237 Hammond Street,R0K 1G0,Province of Manitoba
Behavioural Health Foundation #2235,K to 6 English,St. Norbert,35 Ave De La Digue,R3V 1L6,Province of Manitoba
Child & Adolescent Treatment Centre #1948,1 to 12 English,Brandon,1240 - 10th Street,R7A 7L6,Province of Manitoba
Gladys Cook Education Centre #1219,1 to 12 English,Portage La Prairie,#2 River Road Box 1342,R1N 3A9,Province of Manitoba
Jobworks Alternative High School #2254,9 to 12 English,Winnipeg,1175 Pembina Highway,R3T 2A5,Province of Manitoba
Manitoba School For The Deaf #1570,"K to 12 American Sign Language, English",Winnipeg,242 Stradford Street,R2Y 2C9,Province of Manitoba
Manitoba Youth Centre #1049,K to 12 English,Winnipeg,170 Doncaster Street,R3N 1X9,Province of Manitoba
Marymound School #1798,1 to 12 English,Winnipeg,442 Scotia Street,R2V 1X4,Province of Manitoba
New Directions Inc. School #2301,9 to 11 English,Winnipeg,500 - 717 Portage Avenue,R3G 0M8,Province of Manitoba
St. Amant School #1620,K to 12 English,Winnipeg,440 River Road,R2M 3Z9,Province of Manitoba
Balmoral School #1028,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Balmoral,General Delivery,R0C 0H0,Province of Manitoba
Brant-Argyle School #1752,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Argyle,Box 70,R0C 0B0,Province of Manitoba
Concord School #1967,K to 12 English,Stony Mountain,Concord Colony Box 940,R0C 3A0,Province of Manitoba
Grosse Isle School #1282,"5 to 8 English, French: Communication and Culture - Grades 4-12",Grosse Isle,Box 1,R0C 1G0,Province of Manitoba
Kelsey School #1610,K to 12 English,Rosser,Box 82,R0H 1E0,Province of Manitoba
Lightly School #1283,K to 12 English,Balmoral,Clearwater Colony Box 103,R0C 0H0,Province of Manitoba
Mallard School #2143,K to 12 English,Warren,"Box 7, Group 40",R0C 3E0,Province of Manitoba
Meadow Lane School #2299,K to 12 English,Rosser,C/O Meadow Lane Colony Box 68,R0H 1E0,Province of Manitoba
New Haven School #1205,K to 12 English,Argyle,New Haven Colony Box 100,R0C 0B0,Province of Manitoba
Omega School #1433,K to 12 English,Teulon,Interlake Colony Box 138,R0C 3B0,Province of Manitoba
Prairie Blossom School #2113,K to 12 English,Balmoral,General Delivery,R0C 0H0,Province of Manitoba
Rock Lake School #1572,K to 12 English,Grosse Isle,Rock Lake Colony Box 158,R0C 1G0,Province of Manitoba
Rosser School #1346,"K to 4 Early Start French, English, French: Communication and Culture - Grades 4-12",Rosser,Box 130,R0H 1E0,Province of Manitoba
Stonewall Centennial School #1879,"5 to 8 Early Immersion, English, French: Communication and Culture - Grades 4-12",Stonewall,573 - 2nd Avenue N,R0C 2Z0,Province of Manitoba
Stonewall Collegiate #1145,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Stonewall,297 - 5th St West,R0C 2Z0,Province of Manitoba
Stony Mountain Elementary #1381,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Stony Mountain,General Delivery,R0C 3A0,Province of Manitoba
Teulon Collegiate #1650,"7 to 12 English, French: Communication and Culture - Grades 4-12",Teulon,Box 189,R0C 3B0,Province of Manitoba
Teulon Elementary #1494,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Teulon,Box 143,R0C 3B0,Province of Manitoba
Warren Collegiate #1908,"9 to 12 English, French: Communication and Culture - Grades 4-12",Warren,Box 580,R0C 3E0,Province of Manitoba
Warren Elementary #1710,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Warren,Box 610,R0C 3E0,Province of Manitoba
Kelsey Community School #1386,"K to 5 English, French: Communication and Culture - Grades 4-12",The Pas,Box 4700,R9A 1R4,Province of Manitoba
Kelsey Learning Centre #2207,9 to 12 English,The Pas,Box 4700,R9A 1RA,Province of Manitoba
Margaret Barbour Collegiate Institute #1724,"9 to 12 English, French: Communication and Culture - Grades 4-12",The Pas,Box 4700 429 Smith Avenue,R9A 1R4,Province of Manitoba
Mary Duncan School #1616,7 to 12 English,The Pas,Box 4700,R9A 1R4,Province of Manitoba
Scott Bateman Middle School #1260,"6 to 8 Early Immersion, English, French: Communication and Culture - Grades 4-12",The Pas,Box 4700,R9A 1R4,Province of Manitoba
cole Opasquia School #1021,"K to 5 Early Immersion, English, French: Communication and Culture - Grades 4-12",The Pas,Box 4700,R9A 1R4,Province of Manitoba
Alf Cuthbert School #1816,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Moosehorn,Box 220,R0C 2E0,Province of Manitoba
Ashern Central School #1090,"5 to 12 English, French: Communication and Culture - Grades 4-12",Ashern,Box 1200,R0C 0E0,Province of Manitoba
Ashern Early Years School #2116,"K to 4 Early Start French, English, French: Communication and Culture - Grades 4-12",Ashern,Box 1400,R0C 0E0,Province of Manitoba
Broad Valley Colony School #1123,K to 12 English,Poplarfield,Broad Valley Colony Box 8,R0C 2N0,Province of Manitoba
Eriksdale School #1116,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Eriksdale,Box 179,R0C 0W0,Province of Manitoba
Fieldstone Ventures Edu. & Training Ctr. #2205,9 to 12 English,Ashern,Box 1600,R0C 0E0,Province of Manitoba
Fisher Branch Collegiate #1765,"5 to 12 English, French: Communication and Culture - Grades 4-12",Fisher Branch,Box 250,R0C 0Z0,Province of Manitoba
Fisher Branch Early Years School #1424,"K to 4 Early Start French, English, French: Communication and Culture - Grades 4-12",Fisher Branch,Box 355,R0C 0Z0,Province of Manitoba
Inwood School #1612,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Inwood,Box 220,R0C 1P0,Province of Manitoba
Lundar School #1130,K to 12 English,Lundar,Box 602,R0C 1Y0,Province of Manitoba
Marble Ridge Colony School #1168,K to 12 English,Hodgson,Marble Ridge Colony Box 310,R0C 1N0,Province of Manitoba
Centennial School #1483,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Selkirk,19 Centennial Avenue,R1A 0C8,Province of Manitoba
Daerwood School #1040,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Selkirk,211 Main Street,R1A 1R7,Province of Manitoba
East Selkirk Middle School #2256,"5 to 9 English, French: Communication and Culture - Grades 4-12, Ukrainian",East Selkirk,Box 310 1140 Strathcona Road,R0E 0M0,Province of Manitoba
Happy Thought School #1181,"K to 4 Early Start French, English, French: Communication and Culture - Grades 4-12, Ukrainian",East Selkirk,Box 6 Group 35 Rr1,R0E 0M0,Province of Manitoba
Lockport School #1657,"7 to 9 English, French: Communication and Culture - Grades 4-12",Lockport,129 Lockport Road,R1A 3H6,Province of Manitoba
Lord Selkirk Adult Learning Program #2168,9 to 12 English,Selkirk,205 Mercy Street,R1A 2C8,Province of Manitoba
Lord Selkirk Regional Secondary #1641,"10 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Selkirk,221 Mercy Street,R1A 2C8,Province of Manitoba
Mapleton School #1598,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Selkirk,112 Calder Road,R1A 4B5,Province of Manitoba
Netley School #2111,K to 12 English,Petersfield,Box 100,R0C 2L0,Province of Manitoba
Robert Smith Elementary #1897,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Selkirk,300 Sophia Street,R1A 2E2,Province of Manitoba
Ruth Hooker School #1799,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Selkirk,430 Morris Avenue,R1A 1B4,Province of Manitoba
Selkirk Junior High #1835,"7 to 9 Early Immersion, English, French: Communication and Culture - Grades 4-12",Selkirk,516 Stanley Avenue,R1A 0S1,Province of Manitoba
St. Andrews School #1640,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",St. Andrews,8 St. Andrews Road,R1A 2Y1,Province of Manitoba
Walter Whyte School #1343,"K to 9 Early Start French, English, French: Communication and Culture - Grades 4-12",Grand Marais,Box 189,R0E 0T0,Province of Manitoba
William S. Patterson School #1288,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Clandeboye,Box 100,R0C 0P0,Province of Manitoba
cole Bonaventure #2083,M to 6 Early Immersion,Selkirk,516a Avenue Stanley,R1A 0S1,Province of Manitoba
Archwood School #1136,"K to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,800 Archibald Street,R2J 0Y4,Province of Manitoba
Collge Bliveau #1878,7 to 12 Early Immersion,Winnipeg,296 Chemin Speers,R2J 1M7,Province of Manitoba
Collge Jeanne-Sauv #2027,9 to 12 Early Immersion,Winnipeg,1128 Rue Dakota,R2N 3T8,Province of Manitoba
Dakota Collegiate #1823,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,661 Dakota Street,R2M 3K3,Province of Manitoba
Darwin School #1441,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,175 Darwin Street,R2M 4A9,Province of Manitoba
Dr. D. W. Penner School #1589,"K to 6 English, French: Communication and Culture - Grades 4-12",Winnipeg,121 Hazelwood Crescent,R2M 4E4,Province of Manitoba
Frontenac School #1128,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,866 Autumnwood Drive,R2J 1C1,Province of Manitoba
General Vanier School #1039,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,18 Lomond Boulevard,R2J 1Y2,Province of Manitoba
Glenlawn Collegiate #1530,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,770 St. Mary'S Road,R2M 3N7,Province of Manitoba
Glenwood School #1336,"K to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,51 Blenheim Avenue,R2M 0H9,Province of Manitoba
H. S. Paul School #2020,"K to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,160 Southglen Boulevard,R2N 3J3,Province of Manitoba
Hastings School #1017,"K to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,50 Hastings Boulevard,R2M 3X5,Province of Manitoba
Highbury School #2062,"K to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,99 Highbury Road,R2N 2N5,Province of Manitoba
Island Lakes Community School #2152,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,445 Island Shore Blvd.,R3X 2B4,Province of Manitoba
J. H. Bruns Collegiate #1246,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,250 Lakewood Boulevard,R2J 3A2,Province of Manitoba
Lavallee School #1571,"K to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,505 St. Anne'S Road,R2M 3E5,Province of Manitoba
Louis Riel S.D. Arts And Technology Ctr. #1171,11 to 12 English,Winnipeg,5 Debourmont Avenue,R2J 1J9,Province of Manitoba
Marion School #1542,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,619 Desmeurons Street,R2H 2R1,Province of Manitoba
Minnetonka School #1156,"K to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,200 Minnetonka Street,R2M 3Y6,Province of Manitoba
Nelson Mcintyre Collegiate #1833,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,188 St. Mary'S Road,R2H 1H9,Province of Manitoba
Crossroads Learning Centre Inc. #2157,9 to 12 English,Winnipeg,Unit H- 2211 Mcphillips Street,R2V 3M5,Province of Manitoba
Horizons Learning Centres #2164,11 to 12 English,Winnipeg,Unit G - 431 Thames Avenue,R2L 0V4,Province of Manitoba
Manitoba Institute Of Trades And Tech. #1956,11 to 12 English,Winnipeg,130 Henlow Bay,R3Y 1G4,Province of Manitoba
Mitt Adult Learning Centres #2332,11 to 12 English,Winnipeg,"Newport Centre, 2f Unit 510 330 Portage Avenue",R3C 0C4,Province of Manitoba
Portage Adult Learning Centre #2179,9 to 12 English,Portage La Prairie,110 Saskatchewan Avenue W.,R1N 0M1,Province of Manitoba
St. Norbert Adult Education Centre #2187,9 to 12 English,St. Norbert,Box 250 35th Ave. De La Digue,R3V 1L6,Province of Manitoba
St. Vital Adult Education Centre #2210,11 to 12 English,Winnipeg,533a St. Anne'S Road,R2M 3E8,Province of Manitoba
Ufcw Training Centre #2193,9 to 12 English,Winnipeg,2nd Floor-880 Portage Avenue,R3G 0P1,Province of Manitoba
Dauphin Regional Comp Secondary #1072,"9 to 12 Early Immersion, English",Dauphin,330 Mountain Road North,R7N 2V6,Province of Manitoba
Ethelbert School #1161,"K to 12 English, French: Communication and Culture - Grades 4-12",Ethelbert,Box 241,R0L 0T0,Province of Manitoba
Gilbert Plains Collegiate Institute #1889,"9 to 12 English, French: Communication and Culture - Grades 4-12",Gilbert Plains,Box 70,R0L 0X0,Province of Manitoba
Gilbert Plains Elementary #1667,K to 8 English,Gilbert Plains,Box 397,R0L 0X0,Province of Manitoba
Goose Lake High #1582,"9 to 12 English, French: Communication and Culture - Grades 4-12",Roblin,Box 759,R0L 1P0,Province of Manitoba
Grandview School #1735,"K to 12 English, French: Communication and Culture - Grades 4-12",Grandview,Box 279,R0L 0Y0,Province of Manitoba
Henderson Elementary #1223,K to 6 English,Dauphin,911 Bond Street,R7N 3J7,Province of Manitoba
Lt. Col. Barker V.C. School #1457,K to 5 English,Dauphin,1516 Bond Street,R7N 0K4,Province of Manitoba
Mackenzie Middle School #1323,"6 to 8 Early Immersion, English, Ukrainian",Dauphin,212 - 1st Street N.E.,R7N 1B7,Province of Manitoba
Ochre River School #1118,K to 8 English,Ochre River,General Delivery,R0L 1K0,Province of Manitoba
Burntwood Elementary #1707,"K to 8 English, French: Communication and Culture - Grades 4-12",Thompson,103 Arctic Drive,R8N 1G8,Province of Manitoba
Deerwood School #1417,"K to 8 English, French: Communication and Culture - Grades 4-12",Thompson,101 Beaver Crescent,R8N 1C5,Province of Manitoba
Juniper School #1684,"K to 8 English, French: Communication and Culture - Grades 4-12",Thompson,306 Juniper Drive,R8N 0S9,Province of Manitoba
R. D. Parker Collegiate #1341,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Thompson,272 Thompson Drive North,R8N 0C4,Province of Manitoba
Riverside School #1033,"K to 8 Early Immersion, English, French: Communication and Culture - Grades 4-12",Thompson,119 Riverside Drive,R8N 0X1,Province of Manitoba
Wapanohk Community School #1403,"K to 8 Cree, English",Thompson,453 Princeton Drive,R8N 1W8,Province of Manitoba
Westwood Elementary #1495,"K to 8 English, French: Communication and Culture - Grades 4-12",Thompson,46 Mallard Crescent,R8N 0X9,Province of Manitoba
Day Treatment Center #1780,00 to 00 English,Winnipeg,685 William Avenue,R3E 0Z2,Province of Manitoba
Kindale Occupational Centre #1954,00 to 00 English,Steinbach,Pioneer Industrial Park,R0A 2A0,Province of Manitoba
Kinsmen Day Nursery #1955,00 to 00 English,Steinbach,462 Reimer Avenue,R0A 2A0,Province of Manitoba
