,full_address,street_number,street_name,unit,provider
7341,"321, rue du Trécarré",321,rue du trécarré,,Province of Quèbec
2654,6024 RUNDLEHORN DRIVE NE,6024,rundlehorn drive ne,,Province of Alberta
9961,nan,200,Church Street,,Province of Ontario
14434,nan,9023,AIRPORT BOX 13 Road,,Province of Ontario
502,"10 avenue De L'cole Saint-Jacques Saint-Jacques NB, Canada",,,,Province of New Brunswick
6877,"218, boulevard-Saint-Jean-Baptiste, bureau 101",boulevard-saint-jean-baptiste,bureau 101,218,Province of Quèbec
17172,126 ash street ,126,ash street,,GoDayCare.com
1344,100 PRINCESS STREET,100,princess street,,Province of Alberta
13893,nan,1198,Alexandra Avenue,,Province of Ontario
1846,4704 55TH STREET,4704,55th street,,Province of Alberta
11875,nan,15,Greenland Road,,Province of Ontario
15359,219 hrr ,219,hrr,,GoDayCare.com
11878,nan,288,Pleasant Avenue,,Province of Ontario
204,144 street goodine ,,,,Province of New Brunswick
3756,2ND FLOOR 9135 146 STREET,9135,146 street,2nd floor,Province of Alberta
21380,3669 Qualicum St,3669,qualicum st,,Province of British Columbia
8170,nan,2708,Gideon Drive,,Province of Ontario
17370,snair ,,,,GoDayCare.com
7236,"90A, route 104",90a,route 104,,Province of Quèbec
17180,888 hanna st. e. ,888,hanna st. e.,,GoDayCare.com
18798,None,,,,Province of Manitoba
859,241 canada street ,241,canada street,,Province of New Brunswick
12395,nan,3535,South Common Court,,Province of Ontario
5318,"10580, boulevard Saint-Laurent",10580,boulevard saint-laurent,,Province of Quèbec
1762,12023 81 STREET,12023,81 street,,Province of Alberta
12545,nan,66,Lakeview Drive,,Province of Ontario
19311,103 - 42000 Loggers Lane,42000,loggers lane,103,Province of British Columbia
23007,2230 Highland Blvd,2230,highland blvd,,Province of British Columbia
17229,20 hemlock court ,20,hemlock court,,GoDayCare.com
4760,"5545, rue Snowdon",5545,rue snowdon,,Province of Quèbec
9471,nan,860,Harrington Court,,Province of Ontario
18992,None,,,,Province of Manitoba
19450,2228 Galt St,2228,galt st,,Province of British Columbia
11144,nan,4,Assance Drive,,Province of Ontario
5597,"8065, boulevard Viau, bureau 101",boulevard viau,bureau 101,8065,Province of Quèbec
20439,100 - 1605 Sutherland Ave,100 1605,sutherland ave,,Province of British Columbia
11548,nan,2389,Cliff Road,,Province of Ontario
12685,nan,3199,Lauzon Road,,Province of Ontario
1620,10345 144 ST,10345,144 st,,Province of Alberta
7217,"66, rue Pierre-Brosseau",66,rue pierre-brosseau,,Province of Quèbec
14440,323 walsh street ,323,walsh street,,GoDayCare.com
6258,"2000, rue Bienville",2000,rue bienville,,Province of Quèbec
4792,"8833, boulevard Saint-Michel",8833,boulevard saint-michel,,Province of Quèbec
65,none,,,,Northwest Territories
6410,"522, rue Terry-Fox",522,rue terry-fox,,Province of Quèbec
1748,50 MEADOWLARK BLVD.,50,meadowlark blvd.,,Province of Alberta
9584,nan,59,Sterling Avenue (French),,Province of Ontario
19394,18959 70 Ave,18959,70 ave,,Province of British Columbia
15459,52 stirling dr ,52,stirling dr,,GoDayCare.com
10011,nan,235,Dundas Street,,Province of Ontario
14315,nan,11,Guildwood Drive,,Province of Ontario
2209,115 MAIN STREET,115,main street,,Province of Alberta
18053,15 CHURCH ST.,15,church st.,,Province of Nova Scotia
22613,26489 Fraser Hwy,26489,fraser hwy,,Province of British Columbia
16729,400 townline rd ,400,townline rd,,GoDayCare.com
23252,228 5 Ave N,228,5 ave n,,Province of British Columbia
12517,nan,426,Britannia Street,,Province of Ontario
15120,866 robertville road ,866,robertville road,,GoDayCare.com
12951,nan,78,Seaforth Avenue,,Province of Ontario
18639,None,,,,Province of Manitoba
14503,5301 2nd st ,5301,2nd st,,GoDayCare.com
1487,1101 - 403 MACKENZIE WAY SW,1101 403,mackenzie way sw,,Province of Alberta
23661,108 Naito Crt,108,naito crt,,Province of British Columbia
11849,nan,19,Mohns Avenue,,Province of Ontario
2098,4837-44TH STREET,,,,Province of Alberta
20646,2260 Philip Avenue,2260,philip avenue,,Province of British Columbia
17388,8572 newman boul ,8572,newman boul,,GoDayCare.com
5899,"202, rue de l'Aréna",202,rue de l'aréna,,Province of Quèbec
8931,nan,3265,Simcoe Street,,Province of Ontario
1708,6 CUNNINGHAM ROAD,6,cunningham road,,Province of Alberta
10864,nan,240,Manor Road,,Province of Ontario
18147,718 Water Street,718,water street,,Province of Newfoundland and Labrador
21708,1829 Newton St,1829,newton st,,Province of British Columbia
18305,f.w. gilbert school - room #9 33 massey avenue (ave) ,,,,Province of Manitoba
21133,523 Mill St,523,mill st,,Province of British Columbia
3929,"566, rue Jean Rioux",566,rue jean rioux,,Province of Quèbec
15640,4329 highway #1 ,highway,#1,4329,GoDayCare.com
20453,2804 Windemere Rd,2804,windemere rd,,Province of British Columbia
15105,5337 rte. 134 ,5337,rte. 134,,GoDayCare.com
4177,"2820, boulevard Laurier, tour 3, bureau 460",,,,Province of Quèbec
8030,nan,10000,Kennedy Road,,Province of Ontario
12824,nan,135,Exhibition Street,,Province of Ontario
20941,6609 - 89Th St,6609,89th st,,Province of British Columbia
8848,nan,1375,Colonial Road,,Province of Ontario
1757,#224 66 SANDARAC DRIVE NW,66,sandarac drive nw,#224,Province of Alberta
20381,2049 Highland Pl,2049,highland pl,,Province of British Columbia
24364,box 879 ,,,,Province of Saskatchewan
11096,nan,1320,Yonge Street,,Province of Ontario
10979,nan,455,Cochrane Drive,,Province of Ontario
3046,#1 12654 151 AVE,12654,151 ave,#1,Province of Alberta
13736,nan,70,Mattice Avenue,,Province of Ontario
10209,nan,400,Mill Street,,Province of Ontario
12388,nan,611,St.Clair Avenue,,Province of Ontario
11545,nan,1145,Swinbourne Drive,,Province of Ontario
3275,2036 20 AVE SW,2036,20 ave sw,,Province of Alberta
23790,46510 1St Ave,46510,1st ave,,Province of British Columbia
13185,nan,424,18th Avenue,,Province of Ontario
7896,nan,925,Cousineau Road,,Province of Ontario
16860,10775 leslie street unit 4 ,leslie street,unit 4,10775,GoDayCare.com
20447,938 Walfred Rd,938,walfred rd,,Province of British Columbia
8280,nan,20,Melrose Avenue,,Province of Ontario
23920,1502 Maple St,1502,maple st,,Province of British Columbia
4380,"140, boulevard Sainte-Madeleine",140,boulevard sainte-madeleine,,Province of Quèbec
12099,nan,440,Shuter Street,,Province of Ontario
20576,5620 A Osoyoos Crescent,5620 a,osoyoos crescent,,Province of British Columbia
24296,43 - 1212 12th street ,43,1212 12th street,,Province of Saskatchewan
13691,nan,144,Planks Lane,,Province of Ontario
21023,3285 Gordon Drive,3285,gordon drive,,Province of British Columbia
7594,nan,180,Amber Street,,Province of Ontario
14762,311 pritchard rd. ,311,pritchard rd.,,GoDayCare.com
7566,nan,2,Darling Street,,Province of Ontario
24274,303 martens avenue ,303,martens avenue,,Province of Saskatchewan
2095,4026 50 STREET,4026,50 street,,Province of Alberta
15748,315 tucker street ,315,tucker street,,GoDayCare.com
3741,UNIT 5 2123 - 19 STREET,2123,19 street,unit 5,Province of Alberta
10043,nan,460,Brentcliffe Drive,,Province of Ontario
1869,306 SADDLEBACK ROAD,306,saddleback road,,Province of Alberta
21021,840 Townsite Road,840,townsite road,,Province of British Columbia
10322,nan,5,First Street,,Province of Ontario
18202,188 Park Avenue,188,park avenue,,Province of Newfoundland and Labrador
4780,"935, rue De La Gauchetière Ouest, 6e étage",rue de la gauchetière ouest,6e étage,935,Province of Quèbec
1974,11840 87 AVENUE,11840,87 avenue,,Province of Alberta
4880,"452-A, rue Jean-Talon Ouest",452-a,rue jean-talon ouest,,Province of Quèbec
20699,4111 Moncton St,4111,moncton st,,Province of British Columbia
5937,"912, avenue De Quen",912,avenue de quen,,Province of Quèbec
10387,nan,70,Madelaine Promenade,,Province of Ontario
18130,32 Hospital Road,32,hospital road,,Province of Newfoundland and Labrador
7234,"440, boulevard St-Luc, local 106",boulevard st-luc,local 106,440,Province of Quèbec
1405,622 - 11 AVE SW,622,11 ave sw,,Province of Alberta
14510,sunset heights ,,,,GoDayCare.com
21659,1671 Bisley Pl,1671,bisley pl,,Province of British Columbia
754,197 porter street ,197,porter street,,Province of New Brunswick
4051,"8, rue du Croissant",8,rue du croissant,,Province of Quèbec
15981,294 first avenue ,294,first avenue,,GoDayCare.com
16527,deer creek st ,,,,GoDayCare.com
7183,"2150, rue Mailhot",2150,rue mailhot,,Province of Quèbec
12708,nan,69,Pritchard Avenue,,Province of Ontario
13720,nan,120,Watford Street,,Province of Ontario
6596,"589, 20e Avenue",589,20e avenue,,Province of Quèbec
24110,401 4th avenue ,401,4th avenue,,Province of Saskatchewan
1279,105 - 400 MAIN STREET NORTH,105 400,main street north,,Province of Alberta
17334,155 rue dunkin ,155,rue dunkin,,GoDayCare.com
10457,nan,1400,Cousineau Road,,Province of Ontario
13814,nan,(Hwy # 10,636064 Prince of Wales Road,,Province of Ontario
13673,nan,160,Carnwith Drive,,Province of Ontario
6380,"810, rue Ladouceur",810,rue ladouceur,,Province of Quèbec
15682,115 rue sandfield ,115,rue sandfield,,GoDayCare.com
22554,15762 92A Ave,15762,92a ave,,Province of British Columbia
8788,nan,5450,Lawrence Avenue,,Province of Ontario
6739,"148, 43e avenue",148,43e avenue,,Province of Quèbec
21166,2812 Lardeau Way,2812,lardeau way,,Province of British Columbia
5097,"92, rue Dante",92,rue dante,,Province of Quèbec
10567,nan,3781,Rue Sixth Rue,,Province of Ontario
11992,nan,11,Mills Avenue,,Province of Ontario
17077,mcknight cress ,,,,GoDayCare.com
3409,16203 55 STREET,16203,55 street,,Province of Alberta
16918,berry street ,,,,GoDayCare.com
11842,nan,165,Frances Street,,Province of Ontario
14850,12287 fulton street ,12287,fulton street,,GoDayCare.com
21871,350 Seymour St,350,seymour st,,Province of British Columbia
15983,kenilworth cres. ,,,,GoDayCare.com
9006,nan,709,King Street,,Province of Ontario
20574,1483 Lameys Mill Road,1483,lameys mill road,,Province of British Columbia
9754,nan,63,Victoria Road,,Province of Ontario
17919,658 HIGHWAY 2 HWY.,658,highway 2 hwy.,,Province of Nova Scotia
11136,nan,160,Courtland Avenue,,Province of Ontario
5115,"4022, rue Hochelaga",4022,rue hochelaga,,Province of Quèbec
23307,10300 Sherman Dr,10300,sherman dr,,Province of British Columbia
12490,nan,1601,Norfolk Street,,Province of Ontario
13226,nan,186,Margaret Street,,Province of Ontario
13810,nan,33,School Road,,Province of Ontario
16747,leduc cres ,,,,GoDayCare.com
20410,2051 Odlum Pl,2051,odlum pl,,Province of British Columbia
3639,100 138-4 AVENUE SE,100,138-4 avenue se,,Province of Alberta
12979,nan,10303,Yonge Street,,Province of Ontario
7292,"1, rue Boulais",1,rue boulais,,Province of Quèbec
12941,nan,2330,Duncaster Drive,,Province of Ontario
8833,nan,373,Northern Avenue,,Province of Ontario
5891,"2501, route des Pionniers C.P. 65",route des pionniers,c.p. 65,2501,Province of Quèbec
14956,125-5373 peach road ,125-5373,peach road,,GoDayCare.com
4506,"378, rue des Érables",378,rue des érables,,Province of Quèbec
18867,None,,,,Province of Manitoba
3590,220-49 HINSHAW DRIVE,220-49,hinshaw drive,,Province of Alberta
15134,850 montgomery street ,850,montgomery street,,GoDayCare.com
4363,"85, 118e Rue",85,118e rue,,Province of Quèbec
7737,nan,1073,Beaumont Avenue,,Province of Ontario
13705,nan,195,Athabasca Street,,Province of Ontario
10586,nan,109,Highway 29,,Province of Ontario
1262,5 SPRUCE VILLAGE WAY,5,spruce village way,,Province of Alberta
24204,427 streb way ,427,streb way,,Province of Saskatchewan
24327,777-28th street east ,,,,Province of Saskatchewan
18056,52 CAIN ST.,52,cain st.,,Province of Nova Scotia
8173,nan,76,Bennington Heights Drive,,Province of Ontario
12003,nan,777,Garner Road,,Province of Ontario
23648,3400 Institute Rd,3400,institute rd,,Province of British Columbia
17906,50 ABERDEEN ST. B,50,aberdeen st. b,,Province of Nova Scotia
23127,3191 Nicola Ave,3191,nicola ave,,Province of British Columbia
17353,179 chemin de la savane ,179,chemin de la savane,,GoDayCare.com
7917,nan,301,Silver Star Boulevard,,Province of Ontario
7437,"37, rue Lactantia",37,rue lactantia,,Province of Quèbec
19356,22680 Westminister Hwy,22680,westminister hwy,,Province of British Columbia
17536,rue jean lesage ,,,,GoDayCare.com
10779,nan,375,Aberdeen Avenue,,Province of Ontario
6051,"1490, rue Charles-Rodrigue",1490,rue charles-rodrigue,,Province of Quèbec
13869,nan,1301,Epton Crescent,,Province of Ontario
12384,nan,1,Greenland Road,,Province of Ontario
6047,"4616, rue Saint-Georges",4616,rue saint-georges,,Province of Quèbec
14014,nan,186,Chippewa Street,,Province of Ontario
11721,nan,3800,Brandon Gate,,Province of Ontario
17560,424 claremont avenue ,424,claremont avenue,,GoDayCare.com
22258,6140 Turner Ave,6140,turner ave,,Province of British Columbia
6612,"15365, rue Diane",15365,rue diane,,Province of Quèbec
924,570 york street ,570,york street,,Province of New Brunswick
17557,eastern street ,,,,GoDayCare.com
3266,NE 3-28-4-5,,,,Province of Alberta
8239,nan,43,Patterson Street,,Province of Ontario
1464,BLDG 197/198 GUTHRIE SCHOOL,197/198,guthrie school,bldg,Province of Alberta
24151,430 vancouver avenue ,430,vancouver avenue,,Province of Saskatchewan
794,859 sand cove road ,859,sand cove road,,Province of New Brunswick
16288,r.r. # 1 ,,,,GoDayCare.com
7360,"1010, rue Émile-Bouchard",1010,rue émile-bouchard,,Province of Quèbec
13535,nan,5121,Meadowhill Road,,Province of Ontario
20503,20645 120B Cres,20645,120b cres,,Province of British Columbia
6373,"123, rue du Sacré-Coeur",123,rue du sacré-coeur,,Province of Quèbec
21185,2751 Granite Pl,2751,granite pl,,Province of British Columbia
1173,LOT B1 BLOCK 6 PLAN 8722396,lot b1,block 6 plan 8722396,,Province of Alberta
11420,nan,691,Lasalle Boulevard,,Province of Ontario
9495,nan,116,Church Street,,Province of Ontario
19657,1076 Calmar Pl,1076,calmar pl,,Province of British Columbia
10009,nan,1040,Hilliard Street,,Province of Ontario
20186,218-8531 Alexandra Rd,218-8531,alexandra rd,,Province of British Columbia
21064,1215 Cecile Dr,1215,cecile dr,,Province of British Columbia
36,48 Taylor Road,48,taylor road,,Northwest Territories
2730,236 ACADIA DRIVE SE,236,acadia drive se,,Province of Alberta
13202,nan,92,Malta Avenue,,Province of Ontario
23931,9060 212Th St,9060,212th st,,Province of British Columbia
17939,53 PARADE ST.,53,parade st.,,Province of Nova Scotia
16416,marlow ave ,,,,GoDayCare.com
13813,nan,246303,Hockley Road,,Province of Ontario
8137,nan,230,Frontenac Street,,Province of Ontario
21297,1036 Babine Cres,1036,babine cres,,Province of British Columbia
23048,3163 Stevenson Pl,3163,stevenson pl,,Province of British Columbia
14966,stone hearth lane ,,,,GoDayCare.com
6272,"4676, boulevard des Laurentides",4676,boulevard des laurentides,,Province of Quèbec
20675,331 Richmond St,331,richmond st,,Province of British Columbia
19728,2151 Lannon Way,2151,lannon way,,Province of British Columbia
23141,8286 197Th St,8286,197th st,,Province of British Columbia
13654,nan,20,Markanna Drive,,Province of Ontario
9394,nan,630,Ray Lawson Boulevard,,Province of Ontario
21824,34511 Thoreau Ave,34511,thoreau ave,,Province of British Columbia
7438,"378, rue Girouard",378,rue girouard,,Province of Quèbec
6692,"23, rue de la Culture",23,rue de la culture,,Province of Quèbec
15776,204 john street south ,204,john street south,,GoDayCare.com
17151,rolling acres drive ,,,,GoDayCare.com
9017,nan,998,Frances Street,,Province of Ontario
22962,805 Tru Way,805,tru way,,Province of British Columbia
577,24 nordin lane ,24,nordin lane,,Province of New Brunswick
23580,11567 Fraserview St,11567,fraserview st,,Province of British Columbia
8628,nan,550,Mortimer Avenue,,Province of Ontario
3346,7501 99 STREET,7501,99 street,,Province of Alberta
21077,5127 School Rd,5127,school rd,,Province of British Columbia
69,none,,,,Northwest Territories
8709,nan,4617,Sainte-Th‚Äör≈†se Rue,,Province of Ontario
22503,2200 Mcintosh Rd,2200,mcintosh rd,,Province of British Columbia
6705,"550, rue René-Gascon",550,rue rené-gascon,,Province of Quèbec
14096,nan,1871,Ridge Road,,Province of Ontario
19604,4110 Campbell Ave,4110,campbell ave,,Province of British Columbia
24300,box 1475 1005 main street ,1005,main street,box 1475,Province of Saskatchewan
14099,nan,31,40th Street,,Province of Ontario
21520,215 Maliview Dr,215,maliview dr,,Province of British Columbia
2854,5423 55 STREET,5423,55 street,,Province of Alberta
23611,2838 Adelaide Ave,2838,adelaide ave,,Province of British Columbia
3706,53113- RANGE ROAD 222,range road,222,53113,Province of Alberta
725,99 burpee avenue ,99,burpee avenue,,Province of New Brunswick
24455,1223 8th avenue north ,1223,8th avenue north,,Province of Saskatchewan
10942,nan,244,Second Line West,,Province of Ontario
12928,nan,255,Raymond Road,,Province of Ontario
19011,7 trafalgar st ,7,trafalgar st,,Province of Prince Edward Island
4357,"1452, rue Gigaire",1452,rue gigaire,,Province of Quèbec
17102,9222 keele street ,9222,keele street,,GoDayCare.com
14405,nan,607,Surgenor Street,,Province of Ontario
1957,280 BULYEA ROAD,280,bulyea road,,Province of Alberta
13112,nan,125,Wellington Street,,Province of Ontario
23785,6211 Forsyth Cres,6211,forsyth cres,,Province of British Columbia
17170,15 foothill st ,15,foothill st,,GoDayCare.com
8636,nan,101,Catharine Street,,Province of Ontario
21759,1618 Pemberton Ave,1618,pemberton ave,,Province of British Columbia
5777,"10, rue Chiasson",10,rue chiasson,,Province of Quèbec
2835,3820 - 24 AVE NW WEST CAMPUS,24 ave nw,west campus,3820,Province of Alberta
20106,211 - 800 McBride Blvd,211 800,mcbride blvd,,Province of British Columbia
19659,2494 Roome Rd,2494,roome rd,,Province of British Columbia
3012,5302 - 48 STREET,5302,48 street,,Province of Alberta
6799,"570, boulevard de Mortagne",570,boulevard de mortagne,,Province of Quèbec
6973,"300, rue de Gentilly Est",300,rue de gentilly est,,Province of Quèbec
24293,709 main street box 1127 ,main street box,1127,709,Province of Saskatchewan
7295,"280, rue du Grand-Coteau",280,rue du grand-coteau,,Province of Quèbec
15036,5 main street ,5,main street,,GoDayCare.com
14561,4932 48ave ,4932,48ave,,GoDayCare.com
18105,17 Hardy Avenue,17,hardy avenue,,Province of Newfoundland and Labrador
17660,800 101 street ,800,101 street,,GoDayCare.com
1514,13820 109A AVENUE NW,13820,109a avenue nw,,Province of Alberta
16959,202 aspen ridge drive ,202,aspen ridge drive,,GoDayCare.com
6499,"7150, rue du Limier",7150,rue du limier,,Province of Quèbec
21341,973 Furber Rd,973,furber rd,,Province of British Columbia
18922,284 davidson street ,284,davidson street,,Province of Manitoba
6370,"880, rue Sagala",880,rue sagala,,Province of Quèbec
21609,233 Roche Point Dr,233,roche point dr,,Province of British Columbia
21400,163 1St Ave W,163,1st ave w,,Province of British Columbia
19862,1703 Juniper St,1703,juniper st,,Province of British Columbia
8492,nan,7,Capri Road,,Province of Ontario
691,"714 boulevard Everard Daigle Grand-Sault/Grand Falls NB, Canada",,,,Province of New Brunswick
21012,25 Cilaire Dr,25,cilaire dr,,Province of British Columbia
2552,4033 BOW TRAIL SW,4033,bow trail sw,,Province of Alberta
10933,nan,N9-6975,Meadowvale Town Centre Circle,,Province of Ontario
8802,nan,161,Denwood Drive,,Province of Ontario
485,1021 776 route ,1021,776 route,,Province of New Brunswick
9366,nan,255,Bayview Fairways Drive,,Province of Ontario
21043,604 7Th Avenue,604,7th avenue,,Province of British Columbia
18388,None,,,,Province of Manitoba
14046,nan,1130,8th Street,,Province of Ontario
10514,nan,1748,Pierre Street,,Province of Ontario
6120,"355, rue Verreault",355,rue verreault,,Province of Quèbec
12327,nan,300,Williamson Drive Drive,,Province of Ontario
24543,1601 cowan crescent ,1601,cowan crescent,,Province of Saskatchewan
16250,254 robinson road ,254,robinson road,,GoDayCare.com
23050,3648 Silver King Ski Hill Rd,3648,silver king ski hill rd,,Province of British Columbia
3947,"1165, rue des Carcajous",1165,rue des carcajous,,Province of Quèbec
7430,"210, rue Tessier",210,rue tessier,,Province of Quèbec
20945,11371 Kingfisher Dr,11371,kingfisher dr,,Province of British Columbia
14843,4062 206a street ,4062,206a street,,GoDayCare.com
21164,5936 Ranchview Rd,5936,ranchview rd,,Province of British Columbia
5873,"412, rue Taschereau",412,rue taschereau,,Province of Quèbec
7552,nan,2,Nobert Road,,Province of Ontario
4490,"300, rue Barton",300,rue barton,,Province of Quèbec
11325,nan,1280,Braeside Drive,,Province of Ontario
21441,2963 30Th Ave W,2963,30th ave w,,Province of British Columbia
3871,5019 53 STREET,5019,53 street,,Province of Alberta
5655,"19, rue Paiement",19,rue paiement,,Province of Quèbec
16433,richview dr. ha,richview dr.,ha,,GoDayCare.com
1612,4025 117 STREET,4025,117 street,,Province of Alberta
10719,nan,550,Pinetree Drive,,Province of Ontario
19729,8656 151B St,8656,151b st,,Province of British Columbia
5395,"4844, boulevard Léger",4844,boulevard léger,,Province of Quèbec
16071,19 railway street ,19,railway street,,GoDayCare.com
21869,10640 No. 5 Rd,10640,no. 5 rd,,Province of British Columbia
13386,nan,2155,Lawrence Avenue,,Province of Ontario
17602,812 fairford street east ,812,fairford street east,,GoDayCare.com
8241,nan,100,Professor Day Drive,,Province of Ontario
8476,nan,644,Warden Avenue,,Province of Ontario
14922,101 2248 elgin avenue port ,101 2248,elgin avenue port,,GoDayCare.com
22580,1806 San Juan Avenue,1806,san juan avenue,,Province of British Columbia
1069,8715 153 STREET,8715,153 street,,Province of Alberta
4543,"1055, boulevard Saint-Régis",1055,boulevard saint-régis,,Province of Quèbec
5619,"6274, rue Jean-Talon Est",6274,rue jean-talon est,,Province of Quèbec
24121,639 broadway avenue ,639,broadway avenue,,Province of Saskatchewan
16206,talbot rd ,,,,GoDayCare.com
14653,335 mons lake rd ,335,mons lake rd,,GoDayCare.com
887,281 amirault street ,281,amirault street,,Province of New Brunswick
19607,360 Chief Alex Thomas Way,360,chief alex thomas way,,Province of British Columbia
15016,5575 marine drive ,5575,marine drive,,GoDayCare.com
15840,"376 i.c. roy, ss3 ",i.c. roy,ss3,376,GoDayCare.com
8256,nan,35,Hedges Boulevard,,Province of Ontario
15820,greenlane rd. ,,,,GoDayCare.com
19349,801 Clearwater Village Road,801,clearwater village road,,Province of British Columbia
11335,nan,461,North Service Road,,Province of Ontario
6660,"328B, rue Pine",328b,rue pine,,Province of Quèbec
4049,"2, rue du Jardin, suite 104",rue du jardin,suite 104,2,Province of Quèbec
17988,55 KEARNEY LAKE RD.,55,kearney lake rd.,,Province of Nova Scotia
10329,nan,153,Montcalm Drive,,Province of Ontario
9145,nan,508,Brock Street,,Province of Ontario
2438,215 10 AVENUE,215,10 avenue,,Province of Alberta
23244,3091 Century Street,3091,century street,,Province of British Columbia
15356,18 st. catherine st. ,18,st. catherine st.,,GoDayCare.com
16989,11873 ninth line ,11873,ninth line,,GoDayCare.com
13932,nan,170,Eaton Street,,Province of Ontario
18863,None,,,,Province of Manitoba
12555,nan,610,"Dundas Street, East",,Province of Ontario
24521,5421 gordon road ,5421,gordon road,,Province of Saskatchewan
2501,9504 OAKFIELD DRIVE SW,9504,oakfield drive sw,,Province of Alberta
18263,None,,,,Province of Manitoba
19333,15350 34 Ave,15350,34 ave,,Province of British Columbia
2738,5005 28 AVENUE,5005,28 avenue,,Province of Alberta
18616,"518 Commercial Street Wawanesa MB, Canada",,,,Province of Manitoba
3986,"4142, rue Marc-Aurèle",4142,rue marc-aurèle,,Province of Quèbec
5649,"5676, rue Jarry Est",5676,rue jarry est,,Province of Quèbec
12365,nan,4600,Dundas Street,,Province of Ontario
21389,9244 Water St,9244,water st,,Province of British Columbia
8309,nan,,6555 Malden Rd.,,Province of Ontario
8267,nan,114,Hungerford Road,,Province of Ontario
6957,"910, rue Principale",910,rue principale,,Province of Quèbec
16137,28 tracey lane ,28,tracey lane,,GoDayCare.com
24693,Unit E 2157 2nd Ave ,2157,2nd ave,unit e,Yukon Territory
10352,nan,185,Wintermute Boulevard,,Province of Ontario
12012,nan,30,Barrhead Crescent,,Province of Ontario
3024,103 - 235 MILLIGAN DRIVE,103 235,milligan drive,,Province of Alberta
3832,110 170 EBONY BOULEVARD,110 170,ebony boulevard,,Province of Alberta
9682,nan,375,Finkle Street,,Province of Ontario
7920,nan,48,Broadway Street,,Province of Ontario
17844,28 GOUROK AVE.,28,gourok ave.,,Province of Nova Scotia
16254,239 miller street ,239,miller street,,GoDayCare.com
9131,nan,150,O Carroll Avenue,,Province of Ontario
8275,nan,1432,Bayview Avenue,,Province of Ontario
15078,894 boul. des acadiens ,894,boul. des acadiens,,GoDayCare.com
18367,111 second avenue (ave) s ,111,second avenue ave s,,Province of Manitoba
6575,"390, rue Joseph-Paquette",390,rue joseph-paquette,,Province of Quèbec
14551,2090 high country rise nw ,2090,high country rise nw,,GoDayCare.com
9999,nan,630,Spadina Avenue,,Province of Ontario
17841,125 CURTIS DR.,125,curtis dr.,,Province of Nova Scotia
13174,nan,5316,Highway 7,,Province of Ontario
661,30 vincent road ,30,vincent road,,Province of New Brunswick
14785,7670 jarvis elementary ,,,,GoDayCare.com
1688,202 222 16 AVENUE NE,,,,Province of Alberta
8297,nan,685,Queen Street,,Province of Ontario
12973,nan,1644,Bank Street,,Province of Ontario
817,143 douglas avenue ,143,douglas avenue,,Province of New Brunswick
20279,320 10 Ave,320,10 ave,,Province of British Columbia
12745,nan,414,Second Avenue,,Province of Ontario
