,full_address,street_number,street_name,unit,provider
15727,larkspur crescent ,,,,GoDayCare.com
11502,nan,24,Bedford Park,,Province of Ontario
8473,nan,1665,O'Connor Drive,,Province of Ontario
12858,nan,225,Wellesworth Drive,,Province of Ontario
1084,2407 90B STREET,2407,90b street,,Province of Alberta
4829,"8550, avenue Joliot-Curie",8550,avenue joliot-curie,,Province of Quèbec
22774,3230 Bank Rd,3230,bank rd,,Province of British Columbia
22103,746 Glenwood Ave,746,glenwood ave,,Province of British Columbia
19168,500 Matterson Dr,500,matterson dr,,Province of British Columbia
9842,nan,1760,Garth Street,,Province of Ontario
6865,"105, rue Saint-Eugène",105,rue saint-eugène,,Province of Quèbec
4393,"3200, boulevard Saint-Jean",3200,boulevard saint-jean,,Province of Quèbec
7644,nan,83,Main Street,,Province of Ontario
20477,1658 Gillett St,1658,gillett st,,Province of British Columbia
7041,"1400, rue des Galets",1400,rue des galets,,Province of Quèbec
9400,nan,1060,White Clover Way,,Province of Ontario
4759,"5795, rue Beaulieu",5795,rue beaulieu,,Province of Quèbec
23570,6808 Beresford Street,6808,beresford street,,Province of British Columbia
4062,"2130, boulevard des Chutes",2130,boulevard des chutes,,Province of Quèbec
12947,nan,96,Denison Avenue,,Province of Ontario
5180,"1985, boulevard Henri-Bourassa Est",1985,boulevard henri-bourassa est,,Province of Quèbec
2892,ROOM 1601 100 COLLEGE BLVD.,100,college blvd.,room 1601,Province of Alberta
4518,"8000, boulevard Métropolitain Est",8000,boulevard métropolitain est,,Province of Quèbec
766,951 main street ,951,main street,,Province of New Brunswick
6368,"5305, boulevard Notre-Dame, bureau 100",boulevard notre-dame,bureau 100,5305,Province of Quèbec
1362,11909/11913 134 AVENUE,11909/11913,134 avenue,,Province of Alberta
24642,102 centre street box 76 ,centre street box,76,102,Province of Saskatchewan
17175,576 edward st ,576,edward st,,GoDayCare.com
4144,"161, avenue Champagnat, bureau 200",avenue champagnat,bureau 200,161,Province of Quèbec
18061,1969 UPPER WATER ST.,1969,upper water st.,,Province of Nova Scotia
10259,nan,2233,Argentia Road,,Province of Ontario
11651,nan,300,Great Lakes Drive,,Province of Ontario
20615,1475 Burrard St,1475,burrard st,,Province of British Columbia
13183,nan,2723,St.Clair Avenue,,Province of Ontario
21343,351 Obed Ave,351,obed ave,,Province of British Columbia
14567,railway cres se ,,,,GoDayCare.com
23184,1555 Theta Crt,1555,theta crt,,Province of British Columbia
10667,nan,80,Victoria Street,,Province of Ontario
611,5 meadow green court ,5,meadow green court,,Province of New Brunswick
15516,21 glen arbour way ,21,glen arbour way,,GoDayCare.com
1486,9607 SHERRIDON DRIVE,9607,sherridon drive,,Province of Alberta
19884,4 - 33575 Mayfair Ave,4 33575,mayfair ave,,Province of British Columbia
13446,nan,51,Woodman Drive,,Province of Ontario
19541,13883 Grosvenor Rd,13883,grosvenor rd,,Province of British Columbia
21349,83 Crease Ave,83,crease ave,,Province of British Columbia
24765,P.O. Box 429,,,,Nunavut
6516,"5500, rue Rodrigue, bureau 134",rue rodrigue,bureau 134,5500,Province of Quèbec
23943,5620 B Osoyoos Crescent,5620 b,osoyoos crescent,,Province of British Columbia
2934,CARSELAND SCHOOL (RM 102),carseland school,rm 102,,Province of Alberta
2653,5007 48 STREET,5007,48 street,,Province of Alberta
5554,"7200, rue Albert-Einstein, bureau 200",rue albert-einstein,bureau 200,7200,Province of Quèbec
18340,mennonite brethren church 146 poplar avenue (ave) ,146,poplar avenue ave,mennonite brethren church,Province of Manitoba
12126,nan,3042,New Subdivision Road,,Province of Ontario
3322,132 QUIGLEY DRIVE,132,quigley drive,,Province of Alberta
23321,1194 Columbia Ave,1194,columbia ave,,Province of British Columbia
183,9 rue sainte-croix ,9,rue sainte-croix,,Province of New Brunswick
15544,107 northfield road ,107,northfield road,,GoDayCare.com
1592,13440 132 STREET,13440,132 street,,Province of Alberta
19909,1939 Bourchier St,1939,bourchier st,,Province of British Columbia
12787,nan,19,Glen Agar Drive,,Province of Ontario
1300,17 SPRINGFIELD AVENUE,17,springfield avenue,,Province of Alberta
777,85 street bonaccord ,,,,Province of New Brunswick
10899,nan,300,Dundas Street,,Province of Ontario
17664,215 haichert street west ,215,haichert street west,,GoDayCare.com
912,1903 121 route ,1903,121 route,,Province of New Brunswick
20764,1300 East Broadway,1300,east broadway,,Province of British Columbia
3111,722 91 STREET SW,722,91 street sw,,Province of Alberta
22521,11600 Aztec St,11600,aztec st,,Province of British Columbia
14840,8892 208 st ,8892,208 st,,GoDayCare.com
20590,3300 - 37 Avenue,3300,37 avenue,,Province of British Columbia
7294,"2100, rue Darwin",2100,rue darwin,,Province of Quèbec
17062,60 turntable cres ,60,turntable cres,,GoDayCare.com
21291,1260 Resker Pl,1260,resker pl,,Province of British Columbia
15073,1190 rue principale ,1190,rue principale,,GoDayCare.com
16228,941 north street ,941,north street,,GoDayCare.com
20462,340 23Rd St E,340,23rd st e,,Province of British Columbia
15240,5 rue st. patrick ,5,rue st. patrick,,GoDayCare.com
20692,5650 Club Road,5650,club road,,Province of British Columbia
3212,10215 108 STREET,10215,108 street,,Province of Alberta
3358,#208 4201 28 STREET,4201,28 street,#208,Province of Alberta
4478,"360, rue Argyll",360,rue argyll,,Province of Quèbec
15453,86 dunlop road ,86,dunlop road,,GoDayCare.com
16199,1212 arbuste avenue ,1212,arbuste avenue,,GoDayCare.com
5749,"32, rue de l'Acadie",32,rue de l'acadie,,Province of Quèbec
11329,nan,165,Sewell Drive,,Province of Ontario
16932,chambers st. ,,,,GoDayCare.com
5457,"4250, rue Harold",4250,rue harold,,Province of Quèbec
127,none,,,,Northwest Territories
7580,nan,193,Homestead Crescent,,Province of Ontario
3750,MAIL BAG 700 RANGE ROAD 20 AND,,,,Province of Alberta
22323,201-14016 32 Ave,201-14016,32 ave,,Province of British Columbia
6894,"1700, rue Principale Est",1700,rue principale est,,Province of Quèbec
19208,12678 68 Ave,12678,68 ave,,Province of British Columbia
2982,2 - 199 MARTINDALE BLVD. NE,2 199,martindale blvd. ne,,Province of Alberta
2533,20 REIDEL STREET,20,reidel street,,Province of Alberta
3531,10502-106 STREET,10502-106,street,,Province of Alberta
22,none,,,,Northwest Territories
19619,2021 Moody Ave,2021,moody ave,,Province of British Columbia
23356,11982 Meadowlark Dr,11982,meadowlark dr,,Province of British Columbia
3849,2223 - 146 AVENUE SE,2223,146 avenue se,,Province of Alberta
21859,13941 94A Ave,13941,94a ave,,Province of British Columbia
19918,6199 Mcgirr Rd,6199,mcgirr rd,,Province of British Columbia
7223,"650, rue Boucher, suite 202",rue boucher,suite 202,650,Province of Quèbec
5840,"270, rue Maurice-Duplessis",270,rue maurice-duplessis,,Province of Quèbec
1880,2803 48 STREET,2803,48 street,,Province of Alberta
16851,biggar rd. ,,,,GoDayCare.com
22672,3181 5 Ave Se,3181,5 ave se,,Province of British Columbia
16087,3634 errington street ,3634,errington street,,GoDayCare.com
15525,belcher st ,,,,GoDayCare.com
17113,rittenhouse rd. ,,,,GoDayCare.com
773,24 epworth park ,24,epworth park,,Province of New Brunswick
7362,"418, avenue Saint-Charles, bureau 100",avenue saint-charles,bureau 100,418,Province of Quèbec
14625,cimarron vista way ,,,,GoDayCare.com
4806,"330, avenue du Carmel",330,avenue du carmel,,Province of Quèbec
12750,nan,590,First Avenue,,Province of Ontario
3751,10815 104 STREET,10815,104 street,,Province of Alberta
610,125 hillview avenue ,125,hillview avenue,,Province of New Brunswick
461,a 861 woodstock road ,861,woodstock road,a,Province of New Brunswick
21300,634 Faulkner Cres,634,faulkner cres,,Province of British Columbia
7025,"649, rue Adoncour",649,rue adoncour,,Province of Quèbec
8133,nan,767,Huronia Road,,Province of Ontario
10948,nan,375,Dovercourt Road,,Province of Ontario
7789,nan,31,Marshall Street,,Province of Ontario
23797,2725 St. Christopher's Road,2725,st. christopher's road,,Province of British Columbia
5801,"380, boulevard Saint-Raymond",380,boulevard saint-raymond,,Province of Quèbec
5772,"1035, rue Yvon-Pichette",1035,rue yvon-pichette,,Province of Quèbec
19481,6269 14Th Ave,6269,14th ave,,Province of British Columbia
824,"20 617 Route Burtts Corner NB, Canada",,,,Province of New Brunswick
15661,27 dairy drive ,27,dairy drive,,GoDayCare.com
15989,settler's crt. ,,,,GoDayCare.com
8185,nan,93,Birchmount Road,,Province of Ontario
19162,10861 Hollymount Dr,10861,hollymount dr,,Province of British Columbia
3427,9701 PRAIRIE ROAD,9701,prairie road,,Province of Alberta
6897,"2620, route 209",2620,route 209,,Province of Quèbec
15141,1021 route 776 ,1021,route 776,,GoDayCare.com
4528,"6546, avenue Baldwin",6546,avenue baldwin,,Province of Quèbec
9569,nan,536,Huron Street,,Province of Ontario
3615,750-19369 SHERIFF KING STREET SW,750-19369,sheriff king street sw,,Province of Alberta
6517,"1230, boulevard Lucille-Teasdale, bureau 101",boulevard lucille-teasdale,bureau 101,1230,Province of Quèbec
16048,123 patterson crescent ,123,patterson crescent,,GoDayCare.com
13675,nan,441,Adelaide Avenue,,Province of Ontario
12578,nan,Bear Islan,Doreen Potts Health Centre,,Province of Ontario
12001,nan,175,Grenoble Drive,,Province of Ontario
10294,nan,317,Franklin Street,,Province of Ontario
21687,2420 Dollarton Hwy,2420,dollarton hwy,,Province of British Columbia
18190,515 Paungask Place,515,paungask place,,Province of Newfoundland and Labrador
18758,None,,,,Province of Manitoba
6804,"2200, rue André",2200,rue andré,,Province of Quèbec
9626,nan,35,Charles Street,,Province of Ontario
16043,8 lincoln street ,8,lincoln street,,GoDayCare.com
17469,171 sunnyside ave. ,171,sunnyside ave.,,GoDayCare.com
14875,carnduff place ,,,,GoDayCare.com
7084,"130, rue Saint-Jean-Baptiste Est",130,rue saint-jean-baptiste est,,Province of Quèbec
14675,5703 41st ave ,5703,41st ave,,GoDayCare.com
11024,nan,286,Water Street,,Province of Ontario
16313,169 irwin avenue ,169,irwin avenue,,GoDayCare.com
24619,119 sherbrooke street box 297 ,sherbrooke street box,297,119,Province of Saskatchewan
5966,"9, rue Cheno",9,rue cheno,,Province of Quèbec
18653,None,,,,Province of Manitoba
1139,13135 26 STREET,13135,26 street,,Province of Alberta
4966,"960, boulevard Henri-Bourassa Est",960,boulevard henri-bourassa est,,Province of Quèbec
10032,nan,691,Lilac Street,,Province of Ontario
6534,"585, rue des Tilleuls",585,rue des tilleuls,,Province of Quèbec
2177,2223 SPILLER ROAD SE,2223,spiller road se,,Province of Alberta
10360,nan,800,23rd Street,,Province of Ontario
17921,59 GLENFOREST DR.,59,glenforest dr.,,Province of Nova Scotia
17706,17 APPLESEED DR. UNIT B,appleseed dr.,unit b,17,Province of Nova Scotia
5739,"45, chemin des Érables, local 2",chemin des érables,local 2,45,Province of Quèbec
21644,7370 Morley St,7370,morley st,,Province of British Columbia
14830,arncote pl ,,,,GoDayCare.com
18022,11 BOND ST.,11,bond st.,,Province of Nova Scotia
4992,"5890, boulevard Gouin Ouest",5890,boulevard gouin ouest,,Province of Quèbec
21962,1232 21St St W,1232,21st st w,,Province of British Columbia
24597,648 grey street box 339 ,648,grey street box 339,,Province of Saskatchewan
13119,nan,141,John Button Boulevard,,Province of Ontario
8238,nan,177,Church Street,,Province of Ontario
23825,7120 136B St,7120,136b st,,Province of British Columbia
19605,815 2 St W,815,2 st w,,Province of British Columbia
11277,nan,860,St. Mary's Street,,Province of Ontario
10138,nan,3150,Aurora Sideroad,,Province of Ontario
3104,609 4TH AVENUE NORTH,609,4th avenue north,,Province of Alberta
14558,collinge road ,,,,GoDayCare.com
8838,nan,4,Ross Street,,Province of Ontario
17958,7071 BAYERS RD. SUITE 5009,bayers rd.,suite 5009,7071,Province of Nova Scotia
10837,nan,68,Queens College Drive,,Province of Ontario
21671,5050 47 Ave,5050,47 ave,,Province of British Columbia
7579,nan,1468,Commissioners Road,,Province of Ontario
8894,nan,320,Bronte Road,,Province of Ontario
9743,nan,112,Sedgemount Drive,,Province of Ontario
11386,nan,2820,Navan Road,,Province of Ontario
14486,canyon close ,,,,GoDayCare.com
273,"14 Butternut Lane Noonan NB, Canada",,,,Province of New Brunswick
9211,nan,1945,Hawthorne Drive,,Province of Ontario
13920,nan,320,Coxe Boulevard,,Province of Ontario
1471,2219 - 14 AVE. SOUTH,2219,14 ave. south,,Province of Alberta
10980,nan,50,Steeles Avenue,,Province of Ontario
20874,744 Fraser Street,744,fraser street,,Province of British Columbia
11084,nan,6030,Voyageur Promenade,,Province of Ontario
15283,4 rue eug√®ne ,4,rue eug√®ne,,GoDayCare.com
21454,201 - 10958 Barnston View Rd,10958,barnston view rd,201,Province of British Columbia
23835,6824 Glenview Dr,6824,glenview dr,,Province of British Columbia
23566,2337 Richter Street,2337,richter street,,Province of British Columbia
24243,103 hettle cove ,103,hettle cove,,Province of Saskatchewan
1472,10860 57 AVE NW,10860,57 ave nw,,Province of Alberta
20735,3154 Clearbrook Rd,3154,clearbrook rd,,Province of British Columbia
3253,736 MCDOUGALL CRT NE,736,mcdougall crt ne,,Province of Alberta
2647,1868 MEADOWBROOK DRIVE SE,1868,meadowbrook drive se,,Province of Alberta
3347,2828 - 19 STREET NW,2828,19 street nw,,Province of Alberta
4591,"437, rue Cherrier",437,rue cherrier,,Province of Quèbec
20507,33165 King Rd,33165,king rd,,Province of British Columbia
18671,None,,,,Province of Manitoba
10071,nan,Fire #4080,Osprey Central Public,,Province of Ontario
15994,8 george street ,8,george street,,GoDayCare.com
8752,nan,75,Hemmingwood Way,,Province of Ontario
18643,None,,,,Province of Manitoba
10695,nan,14,Osborne Street,,Province of Ontario
8515,nan,95,Taunton Road,,Province of Ontario
24031,7051 Killarney St,7051,killarney st,,Province of British Columbia
10773,nan,1635,Riverside Drive,,Province of Ontario
23271,4118 Guest Cres,4118,guest cres,,Province of British Columbia
3173,500 MIDPARK WAY SE,500,midpark way se,,Province of Alberta
11927,nan,47,Van Order Drive,,Province of Ontario
19882,638 Yew Wood Rd,638,yew wood rd,,Province of British Columbia
16897,does not exist ,,,,GoDayCare.com
4005,"416, rue Brassard",416,rue brassard,,Province of Quèbec
23097,15479 93Rd Ave,15479,93rd ave,,Province of British Columbia
12015,nan,298,College Street,,Province of Ontario
17801,3260 BARRINGTON ST.,3260,barrington st.,,Province of Nova Scotia
9646,nan,49,Givins Street,,Province of Ontario
24707,38B Lewes Boulevard ,38b,lewes boulevard,,Yukon Territory
7735,nan,1305,Holland Drive,,Province of Ontario
11979,nan,25,LAIDLAW Street,,Province of Ontario
22808,24093 104 Ave,24093,104 ave,,Province of British Columbia
1564,5201 - 49 STREET,5201,49 street,,Province of Alberta
11442,nan,550,Chesapeake Drive,,Province of Ontario
21088,2701 Spuraway Ave,2701,spuraway ave,,Province of British Columbia
18950,None,,,,Province of Manitoba
17642,3327 fairlight drive ,3327,fairlight drive,,GoDayCare.com
16136,maclean ave. ,,,,GoDayCare.com
337,267 rue paquet ,267,rue paquet,,Province of New Brunswick
11215,nan,100,Old Orchard Grove,,Province of Ontario
3879,"405, 10e Avenue",405,10e avenue,,Province of Quèbec
20509,12972 58B Ave,12972,58b ave,,Province of British Columbia
12084,nan,414,Barton Street,,Province of Ontario
5092,"6871, rue Hochelaga Est",6871,rue hochelaga est,,Province of Quèbec
16808,chatham street ,,,,GoDayCare.com
13463,nan,43,Cambridge Drive,,Province of Ontario
12793,nan,6411,Main Street,,Province of Ontario
20213,4231 Carey Rd,4231,carey rd,,Province of British Columbia
10797,nan,820,Farmstead Road,,Province of Ontario
16376,255 oneil dr east ,255,oneil dr east,,GoDayCare.com
12557,nan,85,Campbell Street,,Province of Ontario
3893,"290, allée des Ursulines",290,allée des ursulines,,Province of Quèbec
1820,4606 48 STREET,4606,48 street,,Province of Alberta
12526,nan,207,Windermere Avenue,,Province of Ontario
16365,308 butler avenue ,308,butler avenue,,GoDayCare.com
7466,nan,83,Dunlop Street,,Province of Ontario
11437,nan,300,Chicopee Hills Drive,,Province of Ontario
3009,71 SAGE HILL PASSAGE NW,71,sage hill passage nw,,Province of Alberta
5592,"2707, boulevard Poirier",2707,boulevard poirier,,Province of Quèbec
9642,nan,30,Centre Island Park,,Province of Ontario
14702,park drive ,,,,GoDayCare.com
20037,4911 Silver Star Rd,4911,silver star rd,,Province of British Columbia
7766,nan,1995,Valley Farm Road,,Province of Ontario
281,131 duncan lane ,131,duncan lane,,Province of New Brunswick
5947,"4, Chemin Fort-George",4,chemin fort-george,,Province of Quèbec
9692,nan,344,Parkinson Road,,Province of Ontario
21980,13359 81 Ave,13359,81 ave,,Province of British Columbia
21190,2373 Omineca Dr,2373,omineca dr,,Province of British Columbia
1274,300 5119 ELBOW DRIVE SW,300 5119,elbow drive sw,,Province of Alberta
12511,nan,35,Glenroy Avenue,,Province of Ontario
14621,cimarron blvd ,,,,GoDayCare.com
11925,nan,284,Earl Street,,Province of Ontario
8971,nan,3675,Concession Road,,Province of Ontario
19679,2225 Sooke Road,2225,sooke road,,Province of British Columbia
14710,2957 crossley drive ,2957,crossley drive,,GoDayCare.com
10226,nan,155,Red Maple Road,,Province of Ontario
9389,nan,40,Fairlawn Boulevard,,Province of Ontario
18078,9 American Road,9,american road,,Province of Newfoundland and Labrador
20389,4409 Lakeshore Rd,4409,lakeshore rd,,Province of British Columbia
18299,"28 P.R. 240 South St. Claude MB, Canada",,,,Province of Manitoba
3232,850 WEBBER GREENS DRIVE,850,webber greens drive,,Province of Alberta
23017,1155 Thurlow St,1155,thurlow st,,Province of British Columbia
2222,300 - 1 ST.,300,1 st.,,Province of Alberta
18395,None,,,,Province of Manitoba
16761,queen street ,,,,GoDayCare.com
9312,nan,255,Salem Road,,Province of Ontario
11274,nan,1469,Nottinghill Gate,,Province of Ontario
11974,nan,2553,Severn Avenue,,Province of Ontario
6817,"3140, boulevard Rome",3140,boulevard rome,,Province of Quèbec
9822,nan,185,Glenashton Drive,,Province of Ontario
24692,8 Metropolit Rd ,8,metropolit rd,,Yukon Territory
6426,"930B, boulevard de l'Assomption",930b,boulevard de l'assomption,,Province of Quèbec
13570,nan,685,Elgin Street,,Province of Ontario
2488,2312 18 ST. NW,2312,18 st. nw,,Province of Alberta
10079,nan,213,Shorecrest Road,,Province of Ontario
12430,nan,27,Hobin Street,,Province of Ontario
5345,"4901, rue Sainte-Catherine Est",4901,rue sainte-catherine est,,Province of Quèbec
7154,"5110, boulevard Cousineau, #200B",boulevard cousineau,#200b,5110,Province of Quèbec
6305,"266, boulevard de la Concorde Ouest",266,boulevard de la concorde ouest,,Province of Quèbec
15942,wooliston cr ,,,,GoDayCare.com
16098,landry street ,,,,GoDayCare.com
3317,213 TAMARACK AVE,213,tamarack ave,,Province of Alberta
17064,3030 midland ave ,3030,midland ave,,GoDayCare.com
5973,", C.P. 168",,,,Province of Quèbec
11339,nan,473,Oakwood Avenue,,Province of Ontario
5434,"464, avenue Westminster Nord",464,avenue westminster nord,,Province of Quèbec
2768,13825 PARKSIDE DRIVE SE,13825,parkside drive se,,Province of Alberta
16030,elma place ,,,,GoDayCare.com
5489,"4993, boulevard des Sources",4993,boulevard des sources,,Province of Quèbec
11130,nan,2510,Hwy 592,,Province of Ontario
10682,nan,1019,Viscount Road,,Province of Ontario
1554,216 BLUEFOX BLVD NORTH,216,bluefox blvd north,,Province of Alberta
23617,774 Abbott Dr,774,abbott dr,,Province of British Columbia
19255,3657 Fromme Road,3657,fromme road,,Province of British Columbia
22458,32552 Bobcat Dr,32552,bobcat dr,,Province of British Columbia
8865,nan,177,Beverley Street,,Province of Ontario
1159,10 MAIN BOULEVARD,10,main boulevard,,Province of Alberta
21932,201 23Rd St E,201,23rd st e,,Province of British Columbia
12954,nan,294,Lawrence Avenue,,Province of Ontario
10548,nan,245,Young Street,,Province of Ontario
10520,nan,126,Ash Street,,Province of Ontario
5922,"1011, route Naskapi",1011,route naskapi,,Province of Quèbec
9294,nan,186,Centennial Road,,Province of Ontario
5158,"528, rue Rachel Est",528,rue rachel est,,Province of Quèbec
6187,"4125, boulevard de la Concorde Est",4125,boulevard de la concorde est,,Province of Quèbec
22234,3337 Epson Crt,3337,epson crt,,Province of British Columbia
5179,"10, rue Sauvé Ouest",10,rue sauvé ouest,,Province of Quèbec
16785,haig dr. ,,,,GoDayCare.com
1363,147 6TH STREET SE,147,6th street se,,Province of Alberta
415,5 rue de la forge ,5,rue de la forge,,Province of New Brunswick
19844,7685 Bell Rd,7685,bell rd,,Province of British Columbia
22227,8813 113 Ave,8813,113 ave,,Province of British Columbia
295,"4572 rue Principale Saint-Antoine NB, Canada",,,,Province of New Brunswick
19204,2946 Commercial Drive,2946,commercial drive,,Province of British Columbia
2665,100 SIR WINSTON CHURCHILL AVE,100,sir winston churchill ave,,Province of Alberta
11654,nan,75,Jordensen Drive,,Province of Ontario
18559,room #135130gym library 751 crescent road e ,751,crescent road e,room #135130gym library,Province of Manitoba
319,80 promenade newcombe ,80,promenade newcombe,,Province of New Brunswick
18978,142 28th street ,142,28th street,,Province of Manitoba
4859,"5165, avenue de Gaspé",5165,avenue de gaspé,,Province of Quèbec
1104,101/104 9425 94 AVE,101/104,9425 94 ave,,Province of Alberta
13044,nan,59,Karen Crescent,,Province of Ontario
6815,"7200, boulevard du Quartier, suite 200",boulevard du quartier,suite 200,7200,Province of Quèbec
8773,nan,10500,Bathurst Street,,Province of Ontario
19926,3849 Parker St,3849,parker st,,Province of British Columbia
15745,carter ,,,,GoDayCare.com
19402,6053 48A Ave,6053,48a ave,,Province of British Columbia
21525,124 15 St E,124,15 st e,,Province of British Columbia
3513,3580 ALLAN DRIVE SW,3580,allan drive sw,,Province of Alberta
24432,78 dempsey avenue ,78,dempsey avenue,,Province of Saskatchewan
22640,35431 McKee Rd,35431,mckee rd,,Province of British Columbia
21762,406 Glencoe Dr,406,glencoe dr,,Province of British Columbia
4477,"202, rue Aberdeen",202,rue aberdeen,,Province of Quèbec
3350,629 - 49 AVE SW,629,49 ave sw,,Province of Alberta
6401,"561, rue Otapi",561,rue otapi,,Province of Quèbec
21379,1170 Frederick Rd,1170,frederick rd,,Province of British Columbia
5459,"17135, rue Émile-Nelligan",17135,rue émile-nelligan,,Province of Quèbec
22225,1090 Ridgewood Dr,1090,ridgewood dr,,Province of British Columbia
22310,5898 131 St,5898,131 st,,Province of British Columbia
17691,mayo yukon ,mayo,yukon,,GoDayCare.com
19340,1408 Fifth Ave,1408,fifth ave,,Province of British Columbia
14958,45740 thomas road ,45740,thomas road,,GoDayCare.com
12596,nan,4,Edith Street,,Province of Ontario
12434,nan,64,Victoria Drive,,Province of Ontario
24647,101 309 1st avenue northwest ,101 309,1st avenue northwest,,Province of Saskatchewan
18855,dunhartwood hall ,,,,Province of Manitoba
19159,6060 Redfern Cres,6060,redfern cres,,Province of British Columbia
21624,3522 2Nd Ave,3522,2nd ave,,Province of British Columbia
6884,"555, boulevard J.-André-Déragon",555,boulevard j.-andré-déragon,,Province of Quèbec
21625,2668 York Ave,2668,york ave,,Province of British Columbia
24563,16 1st avenue east ,16,1st avenue east,,Province of Saskatchewan
13278,nan,80,Young Street,,Province of Ontario
15090,59 andrew ,59,andrew,,GoDayCare.com
9418,nan,,340 Sixth Avenue South,,Province of Ontario
15268,342 main street ,342,main street,,GoDayCare.com
15973,7 central avenue east ,7,central avenue east,,GoDayCare.com
24620,38 bradbrooke drive ,38,bradbrooke drive,,Province of Saskatchewan
6929,"416, rue Main",416,rue main,,Province of Quèbec
11111,nan,1123,Glenashton Drive,,Province of Ontario
9586,nan,425,Teefy Street,,Province of Ontario
9530,nan,1020,Lancaster Drive,,Province of Ontario
2224,7401 - 23 STREET SE,7401,23 street se,,Province of Alberta
10910,nan,376,Park Street,,Province of Ontario
1895,10571 115 STREET NW,10571,115 street nw,,Province of Alberta
22356,2835 (A) Revelstoke Ct,2835 a,revelstoke ct,,Province of British Columbia
20199,536 44Th Ave E,536,44th ave e,,Province of British Columbia
17822,110 FREDERICK AVE. UNIT,frederick ave.,unit,110,Province of Nova Scotia
10311,nan,455,University Avenue,,Province of Ontario
6617,"13785, rue Latreille",13785,rue latreille,,Province of Quèbec
11408,nan,2000B,Portobello Boulevard,,Province of Ontario
18633,None,,,,Province of Manitoba
8990,nan,238,Burleigh Street,,Province of Ontario
2516,2359 90B STREET SW,2359,90b street sw,,Province of Alberta
3793,6-4800 HWY 2A,6-4800,hwy 2a,,Province of Alberta
11482,nan,15,Bennett Avenue,,Province of Ontario
21186,1521 Westmount Drive,1521,westmount drive,,Province of British Columbia
17168,ribblesdale dr. ,,,,GoDayCare.com
17099,1950 rollin place ,1950,rollin place,,GoDayCare.com
2373,7655 26 AVE SW,7655,26 ave sw,,Province of Alberta
23806,42000 Government Rd,42000,government rd,,Province of British Columbia
19552,6656 Balmoral St,6656,balmoral st,,Province of British Columbia
15372,8 grey place ,8,grey place,,GoDayCare.com
392,392 rue amirault ,392,rue amirault,,Province of New Brunswick
13216,nan,432,Horner Avenue,,Province of Ontario
17634,3737 wascana parkway ,3737,wascana parkway,,GoDayCare.com
5173,"160, rue St-Viateur Est, bureau 421",rue st-viateur est,bureau 421,160,Province of Quèbec
6639,"404, rue Chasles",404,rue chasles,,Province of Quèbec
6533,"2150, avenue Gérard-Leduc",2150,avenue gérard-leduc,,Province of Quèbec
10790,nan,980,DUFFERIN Street,,Province of Ontario
